pair,name,group,price,change_pct,trend,volatility_20d
EURUSD,EURUSD,Major,1.1673,-0.53,NEUTRAL,0.25
GBPUSD,GBPUSD,Major,1.3397,-1.04,NEUTRAL,0.32
USDJPY,USDJPY,Major,158.371,0.44,BEARISH,0.32
USDCHF,USDCHF,Major,0.7839,0.45,NEUTRAL,0.31
AUDUSD,AUDUSD,Major,0.7223,-0.21,BULLISH,0.37
USDCAD,USDCAD,Major,1.3724,0.2,NEUTRAL,0.21
NZDUSD,NZDUSD,Major,0.5913,-0.66,BULLISH,0.48
EURGBP,EURGBP,Minor,0.871,0.49,NEUTRAL,0.13
EURJPY,EURJPY,Minor,184.802,-0.12,BEARISH,0.25
GBPJPY,GBPJPY,Minor,212.158,-0.58,BEARISH,0.28
EURCHF,EURCHF,Minor,0.9147,-0.14,NEUTRAL,0.16
AUDJPY,AUDJPY,Minor,114.334,0.2,NEUTRAL,0.31
GBPCHF,GBPCHF,Minor,1.05,-0.6,NEUTRAL,0.2
CADJPY,CADJPY,Minor,115.403,0.27,BEARISH,0.3
NZDJPY,NZDJPY,Minor,93.605,-0.23,NEUTRAL,0.35
USDMXN,USDMXN,Exotic,17.2288,0.0,BEARISH,0.3
USDZAR,USDZAR,Exotic,16.4863,-0.15,NEUTRAL,0.54
USDTRY,USDTRY,Exotic,45.4313,0.07,BULLISH,0.08
USDBRL,USDBRL,Exotic,4.9859,1.55,BEARISH,0.6
