pair,name,group,price,change_pct,trend,volatility_20d
EURUSD,EURUSD,Major,1.1632,-0.72,NEUTRAL,0.26
GBPUSD,GBPUSD,Major,1.3325,-1.49,NEUTRAL,0.33
USDJPY,USDJPY,Major,158.698,0.54,NEUTRAL,0.31
USDCHF,USDCHF,Major,0.7866,0.66,NEUTRAL,0.32
AUDUSD,AUDUSD,Major,0.7157,-1.36,BULLISH,0.43
USDCAD,USDCAD,Major,1.3743,0.28,NEUTRAL,0.21
NZDUSD,NZDUSD,Major,0.5845,-1.47,NEUTRAL,0.51
EURGBP,EURGBP,Minor,0.8727,0.75,NEUTRAL,0.14
EURJPY,EURJPY,Minor,184.544,-0.21,NEUTRAL,0.25
GBPJPY,GBPJPY,Minor,211.457,-0.97,NEUTRAL,0.29
EURCHF,EURCHF,Minor,0.9147,-0.12,NEUTRAL,0.16
AUDJPY,AUDJPY,Minor,113.541,-0.83,NEUTRAL,0.36
GBPCHF,GBPCHF,Minor,1.0481,-0.86,NEUTRAL,0.21
CADJPY,CADJPY,Minor,115.457,0.27,BEARISH,0.28
NZDJPY,NZDJPY,Minor,92.722,-0.95,NEUTRAL,0.39
USDMXN,USDMXN,Exotic,17.3469,1.05,BEARISH,0.37
USDZAR,USDZAR,Exotic,16.6655,1.7,NEUTRAL,0.64
USDTRY,USDTRY,Exotic,45.5397,0.24,BULLISH,0.08
USDBRL,USDBRL,Exotic,5.0703,0.9,NEUTRAL,0.68
