pair,name,group,price,change_pct,trend,volatility_20d
EURUSD,EURUSD,Major,1.1624,-0.79,NEUTRAL,0.26
GBPUSD,GBPUSD,Major,1.3333,-1.43,NEUTRAL,0.32
USDJPY,USDJPY,Major,158.551,0.44,NEUTRAL,0.31
USDCHF,USDCHF,Major,0.7865,0.64,NEUTRAL,0.32
AUDUSD,AUDUSD,Major,0.7148,-1.48,BULLISH,0.43
USDCAD,USDCAD,Major,1.3756,0.38,NEUTRAL,0.21
NZDUSD,NZDUSD,Major,0.5843,-1.49,NEUTRAL,0.51
EURGBP,EURGBP,Minor,0.8716,0.63,NEUTRAL,0.13
EURJPY,EURJPY,Minor,184.224,-0.38,NEUTRAL,0.26
GBPJPY,GBPJPY,Minor,211.366,-1.01,NEUTRAL,0.29
EURCHF,EURCHF,Minor,0.9138,-0.21,NEUTRAL,0.16
AUDJPY,AUDJPY,Minor,113.253,-1.08,NEUTRAL,0.37
GBPCHF,GBPCHF,Minor,1.0484,-0.84,NEUTRAL,0.21
CADJPY,CADJPY,Minor,115.242,0.08,BEARISH,0.27
NZDJPY,NZDJPY,Minor,92.589,-1.09,NEUTRAL,0.4
USDMXN,USDMXN,Exotic,17.391,1.3,BEARISH,0.38
USDZAR,USDZAR,Exotic,16.6827,1.8,NEUTRAL,0.64
USDTRY,USDTRY,Exotic,45.5441,0.25,BULLISH,0.08
USDBRL,USDBRL,Exotic,4.9904,-0.69,NEUTRAL,0.67
