pair,name,group,price,change_pct,trend,volatility_20d
EURUSD,EURUSD,Major,1.1628,-0.29,NEUTRAL,0.25
GBPUSD,GBPUSD,Major,1.3318,-0.55,NEUTRAL,0.31
USDJPY,USDJPY,Major,158.753,0.23,NEUTRAL,0.32
USDCHF,USDCHF,Major,0.7865,0.3,NEUTRAL,0.31
AUDUSD,AUDUSD,Major,0.7148,-0.91,NEUTRAL,0.42
USDCAD,USDCAD,Major,1.3754,0.22,NEUTRAL,0.21
NZDUSD,NZDUSD,Major,0.5839,-1.09,NEUTRAL,0.5
EURGBP,EURGBP,Minor,0.8728,0.22,NEUTRAL,0.14
EURJPY,EURJPY,Minor,184.538,-0.09,NEUTRAL,0.23
GBPJPY,GBPJPY,Minor,211.416,-0.31,BEARISH,0.28
EURCHF,EURCHF,Minor,0.9143,-0.02,NEUTRAL,0.14
AUDJPY,AUDJPY,Minor,113.453,-0.66,NEUTRAL,0.34
GBPCHF,GBPCHF,Minor,1.0474,-0.25,NEUTRAL,0.2
CADJPY,CADJPY,Minor,115.401,0.0,BEARISH,0.27
NZDJPY,NZDJPY,Minor,92.67,-0.84,NEUTRAL,0.37
USDMXN,USDMXN,Exotic,17.336,0.61,BEARISH,0.33
USDZAR,USDZAR,Exotic,16.6752,1.16,NEUTRAL,0.63
USDTRY,USDTRY,Exotic,45.5186,-0.05,BULLISH,0.09
USDBRL,USDBRL,Exotic,5.0557,1.03,NEUTRAL,0.69
