pair,name,group,price,change_pct,trend,volatility_20d
EURUSD,EURUSD,Major,1.1636,-0.68,NEUTRAL,0.26
GBPUSD,GBPUSD,Major,1.3357,-1.25,NEUTRAL,0.32
USDJPY,USDJPY,Major,158.459,0.39,NEUTRAL,0.31
USDCHF,USDCHF,Major,0.7855,0.51,NEUTRAL,0.31
AUDUSD,AUDUSD,Major,0.7165,-1.24,BULLISH,0.42
USDCAD,USDCAD,Major,1.3751,0.34,NEUTRAL,0.21
NZDUSD,NZDUSD,Major,0.5857,-1.27,NEUTRAL,0.5
EURGBP,EURGBP,Minor,0.8711,0.58,NEUTRAL,0.13
EURJPY,EURJPY,Minor,184.36,-0.31,NEUTRAL,0.26
GBPJPY,GBPJPY,Minor,211.632,-0.88,NEUTRAL,0.29
EURCHF,EURCHF,Minor,0.9138,-0.22,NEUTRAL,0.16
AUDJPY,AUDJPY,Minor,113.493,-0.87,NEUTRAL,0.36
GBPCHF,GBPCHF,Minor,1.049,-0.79,NEUTRAL,0.2
CADJPY,CADJPY,Minor,115.231,0.07,BEARISH,0.27
NZDJPY,NZDJPY,Minor,92.776,-0.89,NEUTRAL,0.39
USDMXN,USDMXN,Exotic,17.329,0.94,BEARISH,0.36
USDZAR,USDZAR,Exotic,16.633,1.5,NEUTRAL,0.63
USDTRY,USDTRY,Exotic,45.5379,0.24,BULLISH,0.08
USDBRL,USDBRL,Exotic,4.9848,-0.8,NEUTRAL,0.67
