name,symbol,sector,country,currency,price,change_pct,trend,volatility_20d,vol_ratio
Apple,AAPL,Technology,US,USD,297.51,-0.23,BULLISH,1.17,0.1
Microsoft,MSFT,Technology,US,USD,414.57,1.26,BEARISH,1.38,0.11
Alphabet,GOOGL,Technology,US,USD,395.05,-1.5,BULLISH,1.66,0.09
Amazon,AMZN,Technology,US,USD,261.8,-2.03,BULLISH,1.2,0.08
Meta,META,Technology,US,USD,613.02,-0.87,BEARISH,1.48,0.07
NVIDIA,NVDA,Technology,US,USD,228.81,-2.94,BULLISH,2.17,0.12
Tesla,TSLA,Technology,US,USD,433.81,-2.14,BULLISH,1.89,0.05
ASML,ASML,Technology,NL,EUR,1508.75,-4.78,BULLISH,2.6,0.11
Broadcom,AVGO,Technology,US,USD,429.15,-2.42,BULLISH,2.1,0.1
JPMorgan Chase,JPM,Finance,US,USD,299.67,-0.08,BEARISH,1.02,0.11
Bank of America,BAC,Finance,US,USD,49.85,0.0,BEARISH,0.98,0.08
Goldman Sachs,GS,Finance,US,USD,956.12,-1.33,BULLISH,1.24,0.08
Visa,V,Finance,US,USD,326.27,1.16,BULLISH,1.23,0.08
Mastercard,MA,Finance,US,USD,496.0,1.24,BEARISH,1.27,0.07
Johnson & Johnson,JNJ,Healthcare,US,USD,230.78,-0.01,NEUTRAL,0.97,0.09
UnitedHealth,UNH,Healthcare,US,USD,394.0,-1.28,BULLISH,1.45,0.05
Eli Lilly,LLY,Healthcare,US,USD,1004.87,-0.18,BULLISH,2.07,0.06
Novo Nordisk,NVO,Healthcare,DK,DKK,45.35,-0.98,BULLISH,1.68,0.04
Walmart,WMT,Consumer,US,USD,132.44,-0.02,BULLISH,0.93,0.16
Coca-Cola,KO,Consumer,US,USD,80.93,0.6,BULLISH,0.83,0.09
Procter & Gamble,PG,Consumer,US,USD,142.71,0.33,BEARISH,1.2,1.07
McDonald's,MCD,Consumer,US,USD,276.11,0.41,BEARISH,0.99,0.07
Nike,NKE,Consumer,US,USD,42.11,0.21,BEARISH,0.97,0.05
Caterpillar,CAT,Industrial,US,USD,892.79,-2.98,BULLISH,2.0,0.09
Boeing,BA,Industrial,US,USD,224.76,-1.94,BULLISH,1.82,0.13
GE Aerospace,GE,Industrial,US,USD,287.49,-1.39,BULLISH,1.95,0.01
Exxon Mobil,XOM,Energy,US,USD,153.2,0.28,BULLISH,1.2,0.1
Shell,SHEL,Energy,UK,GBP,84.5,-0.01,BEARISH,1.05,0.03
LVMH,MC.PA,Luxury,FR,EUR,454.0,-1.49,BEARISH,1.65,0.41
Hermès,RMS.PA,Luxury,FR,EUR,1576.5,-1.07,BEARISH,1.87,0.33
