pair,name,group,price,change_pct,trend,volatility_20d
EURUSD,EURUSD,Major,1.1666,-0.43,NEUTRAL,0.25
GBPUSD,GBPUSD,Major,1.3392,-0.99,NEUTRAL,0.3
USDJPY,USDJPY,Major,158.344,0.31,NEUTRAL,0.3
USDCHF,USDCHF,Major,0.7842,0.35,NEUTRAL,0.3
AUDUSD,AUDUSD,Major,0.722,-0.48,BULLISH,0.38
USDCAD,USDCAD,Major,1.3726,0.16,NEUTRAL,0.2
NZDUSD,NZDUSD,Major,0.5906,-0.44,BULLISH,0.46
EURGBP,EURGBP,Minor,0.8709,0.56,NEUTRAL,0.13
EURJPY,EURJPY,Minor,184.667,-0.14,NEUTRAL,0.25
GBPJPY,GBPJPY,Minor,212.02,-0.7,NEUTRAL,0.28
EURCHF,EURCHF,Minor,0.9146,-0.13,NEUTRAL,0.16
AUDJPY,AUDJPY,Minor,114.291,-0.18,NEUTRAL,0.32
GBPCHF,GBPCHF,Minor,1.05,-0.69,NEUTRAL,0.2
CADJPY,CADJPY,Minor,115.346,0.17,BEARISH,0.27
NZDJPY,NZDJPY,Minor,93.47,-0.15,NEUTRAL,0.35
USDMXN,USDMXN,Exotic,17.229,0.36,BEARISH,0.34
USDZAR,USDZAR,Exotic,16.4757,0.54,NEUTRAL,0.58
USDTRY,USDTRY,Exotic,45.5347,0.23,BULLISH,0.08
USDBRL,USDBRL,Exotic,4.9837,-0.82,NEUTRAL,0.67
