pair,name,group,price,change_pct,trend,volatility_20d
EURUSD,EURUSD,Major,1.1628,-0.75,NEUTRAL,0.26
GBPUSD,GBPUSD,Major,1.3327,-1.48,NEUTRAL,0.33
USDJPY,USDJPY,Major,158.727,0.55,NEUTRAL,0.32
USDCHF,USDCHF,Major,0.7868,0.68,NEUTRAL,0.32
AUDUSD,AUDUSD,Major,0.7159,-1.32,BULLISH,0.43
USDCAD,USDCAD,Major,1.375,0.33,NEUTRAL,0.21
NZDUSD,NZDUSD,Major,0.5846,-1.44,NEUTRAL,0.51
EURGBP,EURGBP,Minor,0.8723,0.71,NEUTRAL,0.14
EURJPY,EURJPY,Minor,184.494,-0.24,NEUTRAL,0.25
GBPJPY,GBPJPY,Minor,211.5,-0.95,NEUTRAL,0.29
EURCHF,EURCHF,Minor,0.9145,-0.14,NEUTRAL,0.16
AUDJPY,AUDJPY,Minor,113.59,-0.79,NEUTRAL,0.35
GBPCHF,GBPCHF,Minor,1.0484,-0.84,NEUTRAL,0.21
CADJPY,CADJPY,Minor,115.432,0.24,BEARISH,0.28
NZDJPY,NZDJPY,Minor,92.751,-0.92,NEUTRAL,0.39
USDMXN,USDMXN,Exotic,17.336,0.98,BEARISH,0.37
USDZAR,USDZAR,Exotic,16.6775,1.77,NEUTRAL,0.64
USDTRY,USDTRY,Exotic,45.5433,0.25,BULLISH,0.08
USDBRL,USDBRL,Exotic,5.0613,0.72,NEUTRAL,0.67
