pair,name,group,price,change_pct,trend,volatility_20d
EURUSD,EURUSD,Major,1.1673,-0.37,NEUTRAL,0.24
GBPUSD,GBPUSD,Major,1.3403,-0.91,NEUTRAL,0.3
USDJPY,USDJPY,Major,158.342,0.31,NEUTRAL,0.3
USDCHF,USDCHF,Major,0.783,0.19,NEUTRAL,0.29
AUDUSD,AUDUSD,Major,0.7221,-0.47,BULLISH,0.38
USDCAD,USDCAD,Major,1.3719,0.11,NEUTRAL,0.2
NZDUSD,NZDUSD,Major,0.5913,-0.31,BULLISH,0.46
EURGBP,EURGBP,Minor,0.8706,0.51,NEUTRAL,0.13
EURJPY,EURJPY,Minor,184.711,-0.12,NEUTRAL,0.25
GBPJPY,GBPJPY,Minor,212.221,-0.61,NEUTRAL,0.27
EURCHF,EURCHF,Minor,0.9143,-0.16,NEUTRAL,0.16
AUDJPY,AUDJPY,Minor,114.279,-0.19,NEUTRAL,0.32
GBPCHF,GBPCHF,Minor,1.0495,-0.74,NEUTRAL,0.2
CADJPY,CADJPY,Minor,115.366,0.19,BEARISH,0.27
NZDJPY,NZDJPY,Minor,93.572,-0.04,NEUTRAL,0.34
USDMXN,USDMXN,Exotic,17.198,0.18,BEARISH,0.33
USDZAR,USDZAR,Exotic,16.458,0.43,NEUTRAL,0.57
USDTRY,USDTRY,Exotic,45.5154,0.19,BULLISH,0.08
USDBRL,USDBRL,Exotic,4.9895,-0.7,NEUTRAL,0.67
