pair,name,group,price,change_pct,trend,volatility_20d
EURUSD,EURUSD,Major,1.1719,-1.26,NEUTRAL,0.24
GBPUSD,GBPUSD,Major,1.3529,-0.67,NEUTRAL,0.27
USDJPY,USDJPY,Major,157.875,3.31,BEARISH,0.3
USDCHF,USDCHF,Major,0.7814,1.53,NEUTRAL,0.3
AUDUSD,AUDUSD,Major,0.7252,2.33,BULLISH,0.37
USDCAD,USDCAD,Major,1.3706,0.7,NEUTRAL,0.2
NZDUSD,NZDUSD,Major,0.5932,-1.67,BULLISH,0.46
EURGBP,EURGBP,Minor,0.866,-0.62,NEUTRAL,0.11
EURJPY,EURJPY,Minor,184.97,1.98,BEARISH,0.24
GBPJPY,GBPJPY,Minor,213.578,2.63,NEUTRAL,0.25
EURCHF,EURCHF,Minor,0.9155,0.24,NEUTRAL,0.15
AUDJPY,AUDJPY,Minor,114.442,5.67,NEUTRAL,0.31
GBPCHF,GBPCHF,Minor,1.057,0.9,NEUTRAL,0.17
CADJPY,CADJPY,Minor,115.192,2.61,BEARISH,0.29
NZDJPY,NZDJPY,Minor,93.611,1.56,NEUTRAL,0.35
USDMXN,USDMXN,Exotic,17.1618,-0.26,BEARISH,0.32
USDZAR,USDZAR,Exotic,16.3971,2.82,NEUTRAL,0.56
USDTRY,USDTRY,Exotic,45.4302,3.89,BULLISH,0.08
USDBRL,USDBRL,Exotic,5.0111,-3.89,BEARISH,0.62
