name,symbol,category,price,change_pct,spread,spread_pct,spread_label,trend,volatility_20d,vol_ratio
Gold,GC=F,Precious Metals,4705.9,0.17,0.1,0.0021,0.1 (0.002%),BULLISH,1.02,13.51
Silver,SI=F,Precious Metals,87.765,-1.26,0.005,0.0057,0.005 (0.006%),BULLISH,2.77,5.17
Platinum,PL=F,Precious Metals,2157.0,-1.38,0.1,0.0046,0.1 (0.005%),BULLISH,2.01,14.65
Palladium,PA=F,Precious Metals,1520.5,-0.69,0.5,0.0329,0.5 (0.033%),NEUTRAL,2.0,18.38
Crude Oil WTI,CL=F,Energy,101.54,0.51,0.01,0.0098,0.01 (0.010%),BULLISH,3.45,0.03
Brent Crude,BZ=F,Energy,106.16,0.5,0.01,0.0094,0.01 (0.009%),NEUTRAL,3.68,0.02
Natural Gas,NG=F,Energy,2.884,0.7,0.001,0.0347,0.001 (0.035%),BULLISH,1.96,0.03
Copper,HG=F,Industrial Metals,6.604,-0.47,0.0005,0.0076,0.0005 (0.008%),BULLISH,1.3,3.42
Corn,ZC=F,Agriculture,482.5,3.43,0.25,0.0518,0.25 (0.052%),BULLISH,0.89,0.15
Wheat,ZW=F,Agriculture,685.5,3.08,0.25,0.0365,0.25 (0.036%),BULLISH,1.8,0.69
Soybeans,ZS=F,Agriculture,1226.75,0.95,0.25,0.0204,0.25 (0.020%),BULLISH,0.7,0.3
