pair,name,group,price,change_pct,trend,volatility_20d
EURUSD,EURUSD,Major,1.1647,-0.59,NEUTRAL,0.25
GBPUSD,GBPUSD,Major,1.3369,-1.16,NEUTRAL,0.31
USDJPY,USDJPY,Major,158.436,0.37,NEUTRAL,0.31
USDCHF,USDCHF,Major,0.785,0.44,NEUTRAL,0.31
AUDUSD,AUDUSD,Major,0.7172,-1.14,BULLISH,0.42
USDCAD,USDCAD,Major,1.3741,0.27,NEUTRAL,0.2
NZDUSD,NZDUSD,Major,0.5867,-1.09,NEUTRAL,0.49
EURGBP,EURGBP,Minor,0.8711,0.58,NEUTRAL,0.13
EURJPY,EURJPY,Minor,184.457,-0.26,NEUTRAL,0.26
GBPJPY,GBPJPY,Minor,211.742,-0.83,NEUTRAL,0.29
EURCHF,EURCHF,Minor,0.9139,-0.21,NEUTRAL,0.16
AUDJPY,AUDJPY,Minor,113.589,-0.79,NEUTRAL,0.35
GBPCHF,GBPCHF,Minor,1.049,-0.78,NEUTRAL,0.2
CADJPY,CADJPY,Minor,115.279,0.11,BEARISH,0.27
NZDJPY,NZDJPY,Minor,92.906,-0.75,NEUTRAL,0.38
USDMXN,USDMXN,Exotic,17.3201,0.89,BEARISH,0.36
USDZAR,USDZAR,Exotic,16.601,1.31,NEUTRAL,0.62
USDTRY,USDTRY,Exotic,45.5403,0.24,BULLISH,0.08
USDBRL,USDBRL,Exotic,4.9848,-0.8,NEUTRAL,0.67
