name,symbol,category,price,change_pct,trend,volatility_20d,vol_ratio
SPDR S&P 500,SPY,US Equity,747.9,0.75,BULLISH,0.58,0.57
Invesco QQQ,QQQ,US Equity,719.48,0.67,BULLISH,0.93,0.66
iShares Russell 2000,IWM,US Equity,284.79,0.75,BULLISH,0.9,0.49
SPDR Dow Jones,DIA,US Equity,500.96,0.77,BULLISH,0.56,0.91
Vanguard Total Market,VTI,US Equity,367.42,0.74,BULLISH,0.59,0.65
Vanguard S&P 500,VOO,US Equity,687.6,0.76,BULLISH,0.58,0.59
Financial Select,XLF,Sector,51.37,0.75,BEARISH,0.52,0.67
Technology Select,XLK,Sector,179.41,1.45,BULLISH,1.32,0.75
Energy Select,XLE,Sector,58.17,0.94,NEUTRAL,1.24,0.38
Health Care Select,XLV,Sector,146.5,-0.14,NEUTRAL,0.73,0.67
Industrial Select,XLI,Sector,174.36,0.43,BULLISH,1.03,0.66
Consumer Disc.,XLY,Sector,118.85,0.11,NEUTRAL,0.67,0.6
iShares Core US Agg,AGG,Bonds,98.76,0.09,NEUTRAL,0.21,0.5
Vanguard Total Bond,BND,Bonds,73.25,0.09,NEUTRAL,0.22,0.64
iShares 20+ Year Tr.,TLT,Bonds,85.13,0.39,BEARISH,0.43,0.68
iShares High Yield,HYG,Bonds,79.94,0.03,NEUTRAL,0.22,0.52
iShares Inv. Grade,LQD,Bonds,108.77,0.13,NEUTRAL,0.28,0.51
iShares MSCI EAFE,EFA,International,103.55,-0.27,BULLISH,0.99,0.43
iShares MSCI EM,EEM,International,67.39,0.28,BULLISH,1.39,0.5
Vanguard FTSE Dev.,VEA,International,70.59,-0.05,BULLISH,1.09,0.72
SPDR Gold,GLD,Commodity,428.6,-0.44,BULLISH,1.06,0.43
iShares Silver,SLV,Commodity,76.3,-3.84,BULLISH,2.7,0.87
US Oil Fund,USO,Commodity,142.34,0.21,BULLISH,3.38,0.29
ARK Innovation,ARKK,Thematic,78.4,0.45,BULLISH,1.75,0.84
