name,symbol,category,price,change_pct,trend,volatility_20d,vol_ratio
SPDR S&P 500,SPY,US Equity,741.05,-0.95,BULLISH,0.57,0.74
Invesco QQQ,QQQ,US Equity,712.05,-1.08,BULLISH,0.92,0.96
iShares Russell 2000,IWM,US Equity,278.11,-2.23,BULLISH,0.9,0.97
SPDR Dow Jones,DIA,US Equity,495.81,-1.0,BULLISH,0.52,0.98
Vanguard Total Market,VTI,US Equity,363.72,-1.0,BULLISH,0.58,0.79
Vanguard S&P 500,VOO,US Equity,681.32,-0.93,BULLISH,0.56,0.84
Financial Select,XLF,Sector,51.1,-0.36,BEARISH,0.49,0.53
Technology Select,XLK,Sector,177.64,-1.04,BULLISH,1.3,0.99
Energy Select,XLE,Sector,59.22,1.98,BULLISH,1.19,0.66
Health Care Select,XLV,Sector,145.07,-1.06,NEUTRAL,0.7,0.66
Industrial Select,XLI,Sector,171.12,-1.94,NEUTRAL,1.04,0.65
Consumer Disc.,XLY,Sector,116.69,-1.67,NEUTRAL,0.63,0.94
iShares Core US Agg,AGG,Bonds,98.03,-0.62,NEUTRAL,0.22,0.56
Vanguard Total Bond,BND,Bonds,72.71,-0.61,NEUTRAL,0.23,0.84
iShares 20+ Year Tr.,TLT,Bonds,83.61,-1.54,BEARISH,0.45,1.44
iShares High Yield,HYG,Bonds,79.55,-0.38,NEUTRAL,0.22,1.01
iShares Inv. Grade,LQD,Bonds,107.75,-0.74,NEUTRAL,0.28,1.45
iShares MSCI EAFE,EFA,International,101.79,-1.61,BULLISH,1.02,0.66
iShares MSCI EM,EEM,International,65.25,-3.16,BULLISH,1.45,0.84
Vanguard FTSE Dev.,VEA,International,69.14,-2.01,BULLISH,1.12,0.62
SPDR Gold,GLD,Commodity,418.49,-2.04,NEUTRAL,1.12,1.13
iShares Silver,SLV,Commodity,69.56,-7.89,BULLISH,2.98,1.63
US Oil Fund,USO,Commodity,148.04,3.53,BULLISH,3.19,0.36
ARK Innovation,ARKK,Thematic,75.5,-3.21,BULLISH,1.77,1.0
