name,symbol,region,price,change_pct,trend,volatility_20d
S&P 500,^GSPC,US,7431.21,-0.93,BULLISH,0.58
Nasdaq,^IXIC,US,26266.73,-1.38,BULLISH,0.86
Dow Jones,^DJI,US,49764.14,-0.6,BULLISH,0.5
Russell 2000,^RUT,US,2863.09,0.67,BULLISH,0.9
FTSE 100,^FTSE,UK,10189.51,-1.77,BEARISH,0.79
DAX,^GDAXI,Germany,23969.14,-1.99,NEUTRAL,0.99
CAC 40,^FCHI,France,7960.42,-1.51,BEARISH,1.05
Euro Stoxx 50,^STOXX50E,EU,5824.92,-0.62,BEARISH,0.96
Nikkei 225,^N225,Japan,61409.29,-1.99,BULLISH,1.25
Hang Seng,^HSI,HK,25962.73,-1.62,BULLISH,0.82
Shanghai Comp,000001.SS,China,4135.39,-1.02,BULLISH,0.51
BSE Sensex,^BSESN,India,75237.99,-0.21,BEARISH,0.78
Nifty 50,^NSEI,India,23643.5,-0.19,BEARISH,0.73
KOSPI,^KS11,Korea,7493.18,-6.12,BULLISH,2.11
ASX 200,^AXJO,Australia,8630.8,-0.11,BEARISH,0.5
Bovespa,^BVSP,Brazil,175634.45,-1.53,BEARISH,0.98
