pair,name,group,price,change_pct,trend,volatility_20d
EURUSD,EURUSD,Major,1.1628,-0.75,NEUTRAL,0.26
GBPUSD,GBPUSD,Major,1.3341,-1.37,NEUTRAL,0.32
USDJPY,USDJPY,Major,158.69,0.53,NEUTRAL,0.31
USDCHF,USDCHF,Major,0.7867,0.66,NEUTRAL,0.32
AUDUSD,AUDUSD,Major,0.715,-1.45,BULLISH,0.43
USDCAD,USDCAD,Major,1.376,0.4,NEUTRAL,0.21
NZDUSD,NZDUSD,Major,0.5841,-1.53,NEUTRAL,0.52
EURGBP,EURGBP,Minor,0.8713,0.6,NEUTRAL,0.13
EURJPY,EURJPY,Minor,184.454,-0.26,NEUTRAL,0.26
GBPJPY,GBPJPY,Minor,211.69,-0.86,NEUTRAL,0.29
EURCHF,EURCHF,Minor,0.9145,-0.14,NEUTRAL,0.16
AUDJPY,AUDJPY,Minor,113.408,-0.95,NEUTRAL,0.36
GBPCHF,GBPCHF,Minor,1.0495,-0.74,NEUTRAL,0.2
CADJPY,CADJPY,Minor,115.31,0.14,BEARISH,0.27
NZDJPY,NZDJPY,Minor,92.641,-1.04,NEUTRAL,0.39
USDMXN,USDMXN,Exotic,17.3538,1.09,BEARISH,0.37
USDZAR,USDZAR,Exotic,16.6922,1.86,NEUTRAL,0.64
USDTRY,USDTRY,Exotic,45.54,0.24,BULLISH,0.08
USDBRL,USDBRL,Exotic,5.0678,0.85,NEUTRAL,0.68
