name,symbol,category,price,change_pct,spread,spread_pct,spread_label,trend,volatility_20d,vol_ratio
Gold,GC=F,Precious Metals,4706.4,0.19,0.1,0.0021,0.1 (0.002%),BULLISH,1.02,15.17
Silver,SI=F,Precious Metals,87.825,-1.2,0.005,0.0057,0.005 (0.006%),BULLISH,2.76,5.9
Platinum,PL=F,Precious Metals,2144.2,-1.96,0.1,0.0047,0.1 (0.005%),BULLISH,2.04,16.13
Palladium,PA=F,Precious Metals,1511.5,-1.27,0.5,0.0331,0.5 (0.033%),BEARISH,2.03,19.17
Crude Oil WTI,CL=F,Energy,101.81,0.78,0.01,0.0098,0.01 (0.010%),BULLISH,3.46,0.09
Brent Crude,BZ=F,Energy,106.65,0.97,0.01,0.0094,0.01 (0.009%),NEUTRAL,3.71,0.08
Natural Gas,NG=F,Energy,2.882,0.63,0.001,0.0347,0.001 (0.035%),BULLISH,1.96,0.04
Copper,HG=F,Industrial Metals,6.611,-0.36,0.0005,0.0076,0.0005 (0.008%),BULLISH,1.29,4.85
Corn,ZC=F,Agriculture,478.75,2.63,0.25,0.0522,0.25 (0.052%),BULLISH,0.85,0.34
Wheat,ZW=F,Agriculture,678.0,1.95,0.25,0.0369,0.25 (0.037%),BULLISH,1.75,1.09
Soybeans,ZS=F,Agriculture,1221.0,0.47,0.25,0.0205,0.25 (0.020%),BULLISH,0.67,0.63
Sugar,SB=F,Softs,15.34,-0.26,0.01,0.0652,0.01 (0.065%),BULLISH,1.6,0.1
Cotton,CT=F,Softs,86.11,-0.81,0.01,0.0116,0.01 (0.012%),BULLISH,1.46,0.39
