name,symbol,category,price,change_pct,spread,spread_pct,spread_label,trend,volatility_20d,vol_ratio
Gold,GC=F,Precious Metals,4708.7,0.23,0.1,0.0021,0.1 (0.002%),BULLISH,1.02,14.85
Silver,SI=F,Precious Metals,87.745,-1.29,0.005,0.0057,0.005 (0.006%),BULLISH,2.77,5.81
Platinum,PL=F,Precious Metals,2146.2,-1.87,0.1,0.0047,0.1 (0.005%),BULLISH,2.04,16.0
Palladium,PA=F,Precious Metals,1517.5,-0.88,0.5,0.0329,0.5 (0.033%),NEUTRAL,2.01,19.11
Crude Oil WTI,CL=F,Energy,101.35,0.33,0.01,0.0099,0.01 (0.010%),BULLISH,3.44,0.07
Brent Crude,BZ=F,Energy,106.16,0.5,0.01,0.0094,0.01 (0.009%),NEUTRAL,3.68,0.06
Natural Gas,NG=F,Energy,2.886,0.77,0.001,0.0347,0.001 (0.035%),BULLISH,1.97,0.04
Copper,HG=F,Industrial Metals,6.588,-0.72,0.0005,0.0076,0.0005 (0.008%),BULLISH,1.31,4.29
Corn,ZC=F,Agriculture,478.5,2.57,0.25,0.0522,0.25 (0.052%),BULLISH,0.84,0.3
Wheat,ZW=F,Agriculture,679.5,2.18,0.25,0.0368,0.25 (0.037%),BULLISH,1.76,1.06
Soybeans,ZS=F,Agriculture,1219.25,0.33,0.25,0.0205,0.25 (0.021%),BULLISH,0.67,0.6
Sugar,SB=F,Softs,15.33,-0.33,0.01,0.0652,0.01 (0.065%),BULLISH,1.6,0.07
Cotton,CT=F,Softs,86.11,-0.81,0.01,0.0116,0.01 (0.012%),BULLISH,1.46,0.39
