name,symbol,category,price,change_pct,trend,volatility_20d,vol_ratio
SPDR S&P 500,SPY,US Equity,739.12,-1.21,BULLISH,0.58,1.06
Invesco QQQ,QQQ,US Equity,708.93,-1.51,BULLISH,0.94,1.19
iShares Russell 2000,IWM,US Equity,277.62,-2.4,BULLISH,0.91,1.23
SPDR Dow Jones,DIA,US Equity,495.43,-1.07,BULLISH,0.53,1.2
Vanguard Total Market,VTI,US Equity,362.68,-1.28,BULLISH,0.59,1.02
Vanguard S&P 500,VOO,US Equity,679.45,-1.2,BULLISH,0.58,1.05
Financial Select,XLF,Sector,51.14,-0.29,BEARISH,0.49,0.89
Technology Select,XLK,Sector,176.33,-1.77,BULLISH,1.34,1.29
Energy Select,XLE,Sector,59.45,2.39,BULLISH,1.21,0.88
Health Care Select,XLV,Sector,145.09,-1.05,NEUTRAL,0.7,0.91
Industrial Select,XLI,Sector,171.39,-1.79,NEUTRAL,1.03,0.87
Consumer Disc.,XLY,Sector,116.53,-1.8,NEUTRAL,0.64,1.35
iShares Core US Agg,AGG,Bonds,98.04,-0.61,NEUTRAL,0.22,0.8
Vanguard Total Bond,BND,Bonds,72.74,-0.57,NEUTRAL,0.22,1.53
iShares 20+ Year Tr.,TLT,Bonds,83.66,-1.48,BEARISH,0.44,1.99
iShares High Yield,HYG,Bonds,79.48,-0.46,NEUTRAL,0.22,1.31
iShares Inv. Grade,LQD,Bonds,107.86,-0.64,NEUTRAL,0.28,1.83
iShares MSCI EAFE,EFA,International,101.74,-1.66,BULLISH,1.02,1.08
iShares MSCI EM,EEM,International,65.05,-3.46,BULLISH,1.47,1.18
Vanguard FTSE Dev.,VEA,International,69.07,-2.11,BULLISH,1.12,0.86
SPDR Gold,GLD,Commodity,417.33,-2.31,NEUTRAL,1.13,1.39
iShares Silver,SLV,Commodity,69.03,-8.59,BULLISH,3.01,1.86
US Oil Fund,USO,Commodity,148.2,3.64,BULLISH,3.19,0.47
ARK Innovation,ARKK,Thematic,74.98,-3.87,BULLISH,1.8,1.41
