pair,name,group,price,change_pct,trend,volatility_20d
EURUSD,EURUSD,Major,1.1636,-0.68,NEUTRAL,0.26
GBPUSD,GBPUSD,Major,1.3351,-1.3,NEUTRAL,0.32
USDJPY,USDJPY,Major,158.463,0.39,NEUTRAL,0.31
USDCHF,USDCHF,Major,0.7857,0.54,NEUTRAL,0.31
AUDUSD,AUDUSD,Major,0.7163,-1.27,BULLISH,0.42
USDCAD,USDCAD,Major,1.3748,0.32,NEUTRAL,0.21
NZDUSD,NZDUSD,Major,0.5854,-1.3,NEUTRAL,0.51
EURGBP,EURGBP,Minor,0.8714,0.61,NEUTRAL,0.13
EURJPY,EURJPY,Minor,184.337,-0.32,NEUTRAL,0.26
GBPJPY,GBPJPY,Minor,211.517,-0.94,NEUTRAL,0.29
EURCHF,EURCHF,Minor,0.914,-0.19,NEUTRAL,0.16
AUDJPY,AUDJPY,Minor,113.445,-0.91,NEUTRAL,0.36
GBPCHF,GBPCHF,Minor,1.0488,-0.81,NEUTRAL,0.2
CADJPY,CADJPY,Minor,115.256,0.09,BEARISH,0.27
NZDJPY,NZDJPY,Minor,92.74,-0.93,NEUTRAL,0.39
USDMXN,USDMXN,Exotic,17.3537,1.09,BEARISH,0.37
USDZAR,USDZAR,Exotic,16.66,1.67,NEUTRAL,0.63
USDTRY,USDTRY,Exotic,45.5442,0.25,BULLISH,0.08
USDBRL,USDBRL,Exotic,4.9848,-0.8,NEUTRAL,0.67
