pair,name,group,price,change_pct,trend,volatility_20d
EUR/USD,Euro / US Dollar,Major,1.1707,-1.36,NEUTRAL,0.24
GBP/USD,British Pound / US Dollar,Major,1.3524,-0.7,NEUTRAL,0.27
USD/JPY,US Dollar / Japanese Yen,Major,157.814,3.27,BEARISH,0.3
USD/CHF,US Dollar / Swiss Franc,Major,0.7822,1.64,NEUTRAL,0.3
AUD/USD,Australian Dollar / US Dollar,Major,0.7244,2.22,BULLISH,0.39
USD/CAD,US Dollar / Canadian Dollar,Major,1.3698,0.64,NEUTRAL,0.21
NZD/USD,New Zealand Dollar / US Dollar,Major,0.5932,-1.67,BULLISH,0.47
EUR/GBP,Euro / British Pound,Minor,0.8655,-0.68,NEUTRAL,0.1
EUR/JPY,Euro / Japanese Yen,Minor,184.671,1.82,BEARISH,0.26
GBP/JPY,British Pound / Japanese Yen,Minor,213.354,2.52,BEARISH,0.25
EUR/CHF,Euro / Swiss Franc,Minor,0.9155,0.24,NEUTRAL,0.16
AUD/JPY,Australian Dollar / Japanese Yen,Minor,114.264,5.51,NEUTRAL,0.34
GBP/CHF,British Pound / Swiss Franc,Minor,1.0575,0.95,NEUTRAL,0.16
CAD/JPY,Canadian Dollar / Japanese Yen,Minor,115.172,2.59,BEARISH,0.3
NZD/JPY,NZ Dollar / Japanese Yen,Minor,93.567,1.51,NEUTRAL,0.36
USD/MXN,US Dollar / Mexican Peso,Exotic,17.232,0.15,BEARISH,0.31
USD/ZAR,US Dollar / South African Rand,Exotic,16.4646,3.24,BEARISH,0.52
USD/TRY,US Dollar / Turkish Lira,Exotic,45.4166,3.86,BULLISH,0.08
USD/BRL,US Dollar / Brazilian Real,Exotic,4.8944,-6.13,BEARISH,0.54
