name,symbol,region,price,change_pct,trend,volatility_20d
S&P 500,^GSPC,US,7444.25,8.9,BULLISH,0.57
Nasdaq,^IXIC,US,26402.34,17.1,BULLISH,0.84
Dow Jones,^DJI,US,49693.2,0.39,BULLISH,0.54
Russell 2000,^RUT,US,2843.93,7.45,BULLISH,0.87
FTSE 100,^FTSE,UK,10325.35,-1.16,BEARISH,0.72
DAX,^GDAXI,Germany,24136.81,-3.12,BULLISH,0.88
CAC 40,^FCHI,France,8007.97,-3.65,BEARISH,1.0
Euro Stoxx 50,^STOXX50E,EU,5861.07,-2.07,NEUTRAL,0.98
Nikkei 225,^N225,Japan,63272.11,11.12,BULLISH,1.23
Hang Seng,^HSI,HK,26388.44,-0.67,BULLISH,0.87
Shanghai Comp,000001.SS,China,4242.57,3.93,BULLISH,0.42
BSE Sensex,^BSESN,India,74608.98,-9.7,BEARISH,0.85
Nifty 50,^NSEI,India,23412.6,-8.08,NEUTRAL,0.79
KOSPI,^KS11,Korea,7844.01,42.44,BULLISH,1.87
ASX 200,^AXJO,Australia,8630.4,-3.22,NEUTRAL,0.48
Bovespa,^BVSP,Brazil,177098.3,-5.02,BEARISH,0.91
