name,symbol,category,price,change_pct,spread,spread_pct,spread_label,trend,volatility_20d,vol_ratio
Gold,GC=F,Precious Metals,4705.1,-6.31,0.1,0.0021,0.1 (0.002%),BULLISH,1.02,13.44
Silver,SI=F,Precious Metals,87.815,12.8,0.005,0.0057,0.005 (0.006%),BULLISH,2.76,5.1
Platinum,PL=F,Precious Metals,2155.6,4.07,0.1,0.0046,0.1 (0.005%),BULLISH,2.01,14.53
Palladium,PA=F,Precious Metals,1517.5,-10.6,0.5,0.0329,0.5 (0.033%),NEUTRAL,2.01,18.35
Crude Oil WTI,CL=F,Energy,101.65,61.63,0.01,0.0098,0.01 (0.010%),BULLISH,3.45,0.03
Brent Crude,BZ=F,Energy,106.21,56.77,0.01,0.0094,0.01 (0.009%),NEUTRAL,3.69,0.02
Natural Gas,NG=F,Energy,2.884,-11.07,0.001,0.0347,0.001 (0.035%),BULLISH,1.96,0.03
Copper,HG=F,Industrial Metals,6.59,13.76,0.0005,0.0076,0.0005 (0.008%),BULLISH,1.31,3.35
Corn,ZC=F,Agriculture,482.5,11.75,0.25,0.0518,0.25 (0.052%),BULLISH,0.89,0.14
Wheat,ZW=F,Agriculture,686.25,25.06,0.25,0.0364,0.25 (0.036%),BULLISH,1.81,0.69
Soybeans,ZS=F,Agriculture,1226.0,8.21,0.25,0.0204,0.25 (0.020%),BULLISH,0.7,0.29
Coffee,KC=F,Softs,280.7,-6.45,0.05,0.0178,0.05 (0.018%),BEARISH,1.73,0.02
Sugar,SB=F,Softs,15.39,11.68,0.01,0.065,0.01 (0.065%),BULLISH,1.64,1.32
Cotton,CT=F,Softs,87.97,41.64,0.01,0.0114,0.01 (0.011%),BULLISH,1.46,3.62
Live Cattle,LE=F,Livestock,252.725,3.97,0.025,0.0099,0.025 (0.010%),NEUTRAL,0.75,2.8
