pair,name,group,price,change_pct,trend,volatility_20d
EURUSD,EURUSD,Major,1.1641,-0.64,NEUTRAL,0.26
GBPUSD,GBPUSD,Major,1.3336,-1.41,NEUTRAL,0.32
USDJPY,USDJPY,Major,158.589,0.47,NEUTRAL,0.31
USDCHF,USDCHF,Major,0.7857,0.54,NEUTRAL,0.31
AUDUSD,AUDUSD,Major,0.7165,-1.24,BULLISH,0.42
USDCAD,USDCAD,Major,1.3745,0.29,NEUTRAL,0.21
NZDUSD,NZDUSD,Major,0.5865,-1.12,NEUTRAL,0.5
EURGBP,EURGBP,Minor,0.8726,0.75,NEUTRAL,0.14
EURJPY,EURJPY,Minor,184.554,-0.2,NEUTRAL,0.25
GBPJPY,GBPJPY,Minor,211.478,-0.96,NEUTRAL,0.29
EURCHF,EURCHF,Minor,0.9143,-0.16,NEUTRAL,0.16
AUDJPY,AUDJPY,Minor,113.567,-0.81,NEUTRAL,0.35
GBPCHF,GBPCHF,Minor,1.0476,-0.91,NEUTRAL,0.21
CADJPY,CADJPY,Minor,115.364,0.19,BEARISH,0.27
NZDJPY,NZDJPY,Minor,92.97,-0.69,NEUTRAL,0.38
USDMXN,USDMXN,Exotic,17.3301,0.95,BEARISH,0.36
USDZAR,USDZAR,Exotic,16.6243,1.45,NEUTRAL,0.62
USDTRY,USDTRY,Exotic,45.5427,0.25,BULLISH,0.08
USDBRL,USDBRL,Exotic,4.9848,-0.8,NEUTRAL,0.67
