name,symbol,category,price,change_pct,spread,spread_pct,spread_label,trend,volatility_20d,vol_ratio
Gold,GC=F,Precious Metals,4571.9,-2.27,0.1,0.0022,0.1 (0.002%),NEUTRAL,1.07,16.33
Silver,SI=F,Precious Metals,79.185,-6.74,0.005,0.0063,0.005 (0.006%),BULLISH,3.06,6.01
Platinum,PL=F,Precious Metals,2003.8,-3.83,0.1,0.005,0.1 (0.005%),BULLISH,2.3,15.4
Palladium,PA=F,Precious Metals,1421.5,-2.41,0.5,0.0352,0.5 (0.035%),BEARISH,2.27,19.42
Crude Oil WTI,CL=F,Energy,102.75,1.56,0.01,0.0097,0.01 (0.010%),BULLISH,2.93,0.02
Brent Crude,BZ=F,Energy,107.23,1.43,0.01,0.0093,0.01 (0.009%),NEUTRAL,3.28,0.03
Natural Gas,NG=F,Energy,2.919,0.86,0.001,0.0343,0.001 (0.034%),BULLISH,1.97,0.04
Copper,HG=F,Industrial Metals,6.3775,-2.89,0.0005,0.0078,0.0005 (0.008%),BULLISH,1.44,5.66
Corn,ZC=F,Agriculture,470.0,4.1,0.25,0.0532,0.25 (0.053%),BULLISH,1.08,0.46
Wheat,ZW=F,Agriculture,657.75,1.66,0.25,0.038,0.25 (0.038%),BULLISH,1.81,0.65
Soybeans,ZS=F,Agriculture,1195.0,1.75,0.25,0.0209,0.25 (0.021%),BULLISH,0.89,0.52
