pair,name,group,price,change_pct,trend,volatility_20d
EURUSD,EURUSD,Major,1.1624,-0.79,NEUTRAL,0.26
GBPUSD,GBPUSD,Major,1.3343,-1.36,NEUTRAL,0.32
USDJPY,USDJPY,Major,158.569,0.45,NEUTRAL,0.31
USDCHF,USDCHF,Major,0.7869,0.69,NEUTRAL,0.32
AUDUSD,AUDUSD,Major,0.7146,-1.5,BULLISH,0.44
USDCAD,USDCAD,Major,1.3758,0.39,NEUTRAL,0.21
NZDUSD,NZDUSD,Major,0.5841,-1.53,NEUTRAL,0.52
EURGBP,EURGBP,Minor,0.8708,0.54,NEUTRAL,0.13
EURJPY,EURJPY,Minor,184.252,-0.37,NEUTRAL,0.26
GBPJPY,GBPJPY,Minor,211.575,-0.91,NEUTRAL,0.29
EURCHF,EURCHF,Minor,0.9143,-0.16,NEUTRAL,0.16
AUDJPY,AUDJPY,Minor,113.282,-1.06,NEUTRAL,0.37
GBPCHF,GBPCHF,Minor,1.0499,-0.7,NEUTRAL,0.2
CADJPY,CADJPY,Minor,115.242,0.08,BEARISH,0.27
NZDJPY,NZDJPY,Minor,92.593,-1.09,NEUTRAL,0.4
USDMXN,USDMXN,Exotic,17.3681,1.17,BEARISH,0.38
USDZAR,USDZAR,Exotic,16.6917,1.86,NEUTRAL,0.64
USDTRY,USDTRY,Exotic,45.54,0.24,BULLISH,0.08
USDBRL,USDBRL,Exotic,5.0558,0.61,NEUTRAL,0.66
