name,symbol,category,price,change_pct,trend,volatility_20d,vol_ratio
SPDR S&P 500,SPY,US Equity,741.01,-0.96,BULLISH,0.57,0.72
Invesco QQQ,QQQ,US Equity,711.79,-1.11,BULLISH,0.92,0.93
iShares Russell 2000,IWM,US Equity,277.8,-2.34,BULLISH,0.9,0.91
SPDR Dow Jones,DIA,US Equity,495.74,-1.01,BULLISH,0.52,0.96
Vanguard Total Market,VTI,US Equity,363.65,-1.02,BULLISH,0.58,0.78
Vanguard S&P 500,VOO,US Equity,681.32,-0.93,BULLISH,0.56,0.82
Financial Select,XLF,Sector,51.12,-0.32,BEARISH,0.49,0.51
Technology Select,XLK,Sector,177.47,-1.13,BULLISH,1.31,0.96
Energy Select,XLE,Sector,59.21,1.96,BULLISH,1.19,0.64
Health Care Select,XLV,Sector,145.0,-1.11,NEUTRAL,0.71,0.65
Industrial Select,XLI,Sector,171.03,-2.0,NEUTRAL,1.04,0.63
Consumer Disc.,XLY,Sector,116.68,-1.68,NEUTRAL,0.63,0.91
iShares Core US Agg,AGG,Bonds,98.03,-0.62,NEUTRAL,0.22,0.52
Vanguard Total Bond,BND,Bonds,72.72,-0.6,NEUTRAL,0.22,0.82
iShares 20+ Year Tr.,TLT,Bonds,83.62,-1.52,BEARISH,0.44,1.42
iShares High Yield,HYG,Bonds,79.56,-0.37,NEUTRAL,0.22,0.98
iShares Inv. Grade,LQD,Bonds,107.79,-0.7,NEUTRAL,0.28,1.4
iShares MSCI EAFE,EFA,International,101.75,-1.65,BULLISH,1.02,0.65
iShares MSCI EM,EEM,International,65.19,-3.25,BULLISH,1.46,0.83
Vanguard FTSE Dev.,VEA,International,69.09,-2.08,BULLISH,1.12,0.59
SPDR Gold,GLD,Commodity,418.12,-2.13,NEUTRAL,1.12,1.11
iShares Silver,SLV,Commodity,69.48,-7.99,BULLISH,2.98,1.62
US Oil Fund,USO,Commodity,148.28,3.69,BULLISH,3.2,0.35
ARK Innovation,ARKK,Thematic,75.38,-3.36,BULLISH,1.78,0.97
