name,symbol,region,price,change_pct,trend,volatility_20d
S&P 500,^GSPC,US,7405.55,-1.28,BULLISH,0.6
Nasdaq,^IXIC,US,26163.13,-1.77,BULLISH,0.88
Dow Jones,^DJI,US,49552.61,-1.02,BULLISH,0.52
Russell 2000,^RUT,US,2817.45,-1.59,BULLISH,0.87
FTSE 100,^FTSE,UK,10210.97,-1.56,BEARISH,0.78
DAX,^GDAXI,Germany,24012.32,-1.82,NEUTRAL,0.99
CAC 40,^FCHI,France,7975.39,-1.32,BEARISH,1.04
Euro Stoxx 50,^STOXX50E,EU,5833.52,-0.47,BEARISH,0.95
Nikkei 225,^N225,Japan,61409.29,-1.99,BULLISH,1.25
Hang Seng,^HSI,HK,25962.73,-1.62,BULLISH,0.82
Shanghai Comp,000001.SS,China,4135.39,-1.02,BULLISH,0.51
BSE Sensex,^BSESN,India,75237.99,-0.21,BEARISH,0.78
Nifty 50,^NSEI,India,23643.5,-0.19,BEARISH,0.73
KOSPI,^KS11,Korea,7493.18,-6.12,BULLISH,2.11
ASX 200,^AXJO,Australia,8630.8,-0.11,BEARISH,0.5
Bovespa,^BVSP,Brazil,175899.05,-1.38,BEARISH,0.97
