name,symbol,category,price,change_pct,trend,volatility_20d,vol_ratio
Gold,GC=F,Precious Metals,4721.3,-4.11,NEUTRAL,0.99,18.52
Silver,SI=F,Precious Metals,87.235,15.47,BULLISH,2.62,12.48
Platinum,PL=F,Precious Metals,2148.5,6.68,BULLISH,1.94,18.93
Palladium,PA=F,Precious Metals,1510.5,-8.47,NEUTRAL,1.76,19.82
Crude Oil WTI,CL=F,Energy,102.18,62.6,NEUTRAL,3.55,0.69
Brent Crude,BZ=F,Energy,107.63,59.4,BEARISH,3.79,0.6
Natural Gas,NG=F,Energy,2.833,-11.94,BULLISH,2.0,1.21
Copper,HG=F,Industrial Metals,6.6365,15.0,BULLISH,1.28,11.73
Corn,ZC=F,Agriculture,478.75,11.01,NEUTRAL,0.95,2.61
Wheat,ZW=F,Agriculture,679.0,22.9,BULLISH,1.82,5.6
Soybeans,ZS=F,Agriculture,1225.25,7.74,BULLISH,0.75,2.1
Coffee,KC=F,Softs,281.25,-6.14,BEARISH,1.96,6.73
Sugar,SB=F,Softs,14.98,8.95,BULLISH,1.64,1.35
Cotton,CT=F,Softs,87.27,40.1,BULLISH,1.43,3.25
Live Cattle,LE=F,Livestock,247.6,2.1,NEUTRAL,0.65,3.22
