name,symbol,region,price,change_pct,trend,volatility_20d
S&P 500,^GSPC,US,7410.34,-1.21,BULLISH,0.6
Nasdaq,^IXIC,US,26156.0,-1.8,BULLISH,0.89
Dow Jones,^DJI,US,49633.36,-0.86,BULLISH,0.51
Russell 2000,^RUT,US,2798.03,-2.27,BULLISH,0.9
FTSE 100,^FTSE,UK,10188.58,-1.78,BEARISH,0.79
DAX,^GDAXI,Germany,23936.18,-2.13,NEUTRAL,1.0
CAC 40,^FCHI,France,7956.65,-1.55,BEARISH,1.05
Euro Stoxx 50,^STOXX50E,EU,5812.09,-0.84,BEARISH,0.97
Nikkei 225,^N225,Japan,61409.29,-1.99,BULLISH,1.25
Hang Seng,^HSI,HK,25962.73,-1.62,BULLISH,0.82
Shanghai Comp,000001.SS,China,4135.39,-1.02,BULLISH,0.51
BSE Sensex,^BSESN,India,75237.99,-0.21,BEARISH,0.78
Nifty 50,^NSEI,India,23643.5,-0.19,BEARISH,0.73
KOSPI,^KS11,Korea,7493.18,-6.12,BULLISH,2.11
ASX 200,^AXJO,Australia,8630.8,0.12,BEARISH,0.5
Bovespa,^BVSP,Brazil,175643.88,-1.53,BEARISH,0.98
