name,symbol,category,price,change_pct,trend,volatility_20d,vol_ratio
SPDR S&P 500,SPY,US Equity,741.38,-0.91,BULLISH,0.57,0.61
Invesco QQQ,QQQ,US Equity,711.76,-1.12,BULLISH,0.92,0.76
iShares Russell 2000,IWM,US Equity,277.96,-2.28,BULLISH,0.9,0.78
SPDR Dow Jones,DIA,US Equity,496.48,-0.86,BULLISH,0.52,0.88
Vanguard Total Market,VTI,US Equity,363.86,-0.96,BULLISH,0.57,0.66
Vanguard S&P 500,VOO,US Equity,681.61,-0.89,BULLISH,0.56,0.73
Financial Select,XLF,Sector,51.17,-0.22,BEARISH,0.48,0.44
Technology Select,XLK,Sector,177.37,-1.19,BULLISH,1.31,0.84
Energy Select,XLE,Sector,59.05,1.7,BULLISH,1.18,0.57
Health Care Select,XLV,Sector,145.34,-0.88,NEUTRAL,0.69,0.57
Industrial Select,XLI,Sector,171.38,-1.79,NEUTRAL,1.03,0.52
Consumer Disc.,XLY,Sector,116.75,-1.62,NEUTRAL,0.63,0.64
iShares Core US Agg,AGG,Bonds,98.05,-0.6,NEUTRAL,0.22,0.39
Vanguard Total Bond,BND,Bonds,72.72,-0.59,NEUTRAL,0.22,0.7
iShares 20+ Year Tr.,TLT,Bonds,83.75,-1.37,BEARISH,0.44,1.25
iShares High Yield,HYG,Bonds,79.6,-0.31,NEUTRAL,0.22,0.74
iShares Inv. Grade,LQD,Bonds,107.79,-0.7,NEUTRAL,0.28,1.2
iShares MSCI EAFE,EFA,International,101.88,-1.53,BULLISH,1.01,0.56
iShares MSCI EM,EEM,International,65.22,-3.2,BULLISH,1.46,0.73
Vanguard FTSE Dev.,VEA,International,69.2,-1.92,BULLISH,1.11,0.49
SPDR Gold,GLD,Commodity,418.23,-2.1,NEUTRAL,1.12,1.01
iShares Silver,SLV,Commodity,69.44,-8.05,BULLISH,2.99,1.44
US Oil Fund,USO,Commodity,146.93,2.75,BULLISH,3.15,0.3
ARK Innovation,ARKK,Thematic,75.21,-3.58,BULLISH,1.79,0.76
