name,symbol,region,price,change_pct,trend,volatility_20d
S&P 500,^GSPC,US,7400.96,8.32,BULLISH,0.58
Nasdaq,^IXIC,US,26088.2,15.45,BULLISH,0.86
Dow Jones,^DJI,US,49760.56,0.62,BULLISH,0.54
Russell 2000,^RUT,US,2842.83,8.68,BULLISH,0.89
FTSE 100,^FTSE,UK,10314.12,-1.27,BEARISH,0.71
DAX,^GDAXI,Germany,24132.38,-3.14,NEUTRAL,0.85
CAC 40,^FCHI,France,7974.18,-4.06,BEARISH,0.95
Euro Stoxx 50,^STOXX50E,EU,5835.22,-2.51,NEUTRAL,0.94
Nikkei 225,^N225,Japan,63272.11,11.12,BULLISH,1.23
Hang Seng,^HSI,HK,26388.44,-0.67,BULLISH,0.84
Shanghai Comp,000001.SS,China,4242.57,3.93,BULLISH,0.43
BSE Sensex,^BSESN,India,74871.97,-9.39,BEARISH,0.83
Nifty 50,^NSEI,India,23488.8,-7.78,BEARISH,0.77
KOSPI,^KS11,Korea,7844.01,42.44,BULLISH,1.96
ASX 200,^AXJO,Australia,8630.4,-3.22,BEARISH,0.5
Bovespa,^BVSP,Brazil,180342.33,-3.95,BEARISH,0.83
