name,symbol,category,price,change_pct,trend,volatility_20d,vol_ratio
SPDR S&P 500,SPY,US Equity,748.17,0.79,BULLISH,0.58,0.81
Invesco QQQ,QQQ,US Equity,719.79,0.71,BULLISH,0.93,0.8
iShares Russell 2000,IWM,US Equity,284.48,0.64,BULLISH,0.89,0.63
SPDR Dow Jones,DIA,US Equity,500.85,0.75,BULLISH,0.56,1.06
Vanguard Total Market,VTI,US Equity,367.45,0.75,BULLISH,0.59,0.85
Vanguard S&P 500,VOO,US Equity,687.8,0.79,BULLISH,0.58,0.73
Financial Select,XLF,Sector,51.28,0.57,BEARISH,0.51,0.87
Technology Select,XLK,Sector,179.48,1.49,BULLISH,1.33,0.99
Energy Select,XLE,Sector,58.09,0.8,NEUTRAL,1.23,0.52
Health Care Select,XLV,Sector,146.63,-0.05,NEUTRAL,0.72,0.8
Industrial Select,XLI,Sector,174.51,0.51,BULLISH,1.03,0.86
Consumer Disc.,XLY,Sector,118.68,-0.03,NEUTRAL,0.67,0.77
iShares Core US Agg,AGG,Bonds,98.64,-0.03,NEUTRAL,0.21,0.64
Vanguard Total Bond,BND,Bonds,73.16,-0.03,NEUTRAL,0.21,0.85
iShares 20+ Year Tr.,TLT,Bonds,84.92,0.14,BEARISH,0.41,1.1
iShares High Yield,HYG,Bonds,79.86,-0.06,NEUTRAL,0.22,0.68
iShares Inv. Grade,LQD,Bonds,108.55,-0.06,NEUTRAL,0.27,0.66
iShares MSCI EAFE,EFA,International,103.48,-0.34,BULLISH,1.0,0.58
iShares MSCI EM,EEM,International,67.4,0.28,BULLISH,1.39,0.65
Vanguard FTSE Dev.,VEA,International,70.56,-0.1,BULLISH,1.09,0.85
SPDR Gold,GLD,Commodity,427.19,-0.77,BULLISH,1.08,0.59
iShares Silver,SLV,Commodity,75.49,-4.86,BULLISH,2.75,1.12
US Oil Fund,USO,Commodity,142.96,0.65,BULLISH,3.4,0.34
ARK Innovation,ARKK,Thematic,78.02,-0.04,BULLISH,1.73,1.06
