name,symbol,category,price,change_pct,trend,volatility_20d,vol_ratio
SPDR S&P 500,SPY,US Equity,737.67,8.2,BULLISH,0.53,0.04
Invesco QQQ,QQQ,US Equity,709.1,17.81,BULLISH,0.88,0.09
iShares Russell 2000,IWM,US Equity,282.25,7.34,BULLISH,0.88,0.05
SPDR Dow Jones,DIA,US Equity,495.72,0.09,BULLISH,0.55,0.04
Vanguard Total Market,VTI,US Equity,362.63,7.72,BULLISH,0.54,0.07
Vanguard S&P 500,VOO,US Equity,678.07,8.16,BULLISH,0.53,0.07
Financial Select,XLF,Sector,51.08,-1.1,BEARISH,0.49,0.04
Technology Select,XLK,Sector,176.48,26.45,BULLISH,1.3,0.03
Energy Select,XLE,Sector,57.62,6.01,BEARISH,1.26,0.02
Health Care Select,XLV,Sector,145.31,-7.84,BEARISH,0.75,0.02
Industrial Select,XLI,Sector,174.19,0.01,BULLISH,1.02,0.01
Consumer Disc.,XLY,Sector,117.92,1.5,NEUTRAL,0.69,0.01
iShares Core US Agg,AGG,Bonds,98.61,-2.36,NEUTRAL,0.21,0.01
Vanguard Total Bond,BND,Bonds,73.13,-2.34,NEUTRAL,0.22,0.03
iShares 20+ Year Tr.,TLT,Bonds,84.92,-5.36,BEARISH,0.43,0.04
iShares High Yield,HYG,Bonds,79.8,-1.3,NEUTRAL,0.22,0.0
iShares Inv. Grade,LQD,Bonds,108.5,-2.77,NEUTRAL,0.29,0.01
iShares MSCI EAFE,EFA,International,102.97,-1.22,BULLISH,0.97,0.01
iShares MSCI EM,EEM,International,66.46,8.74,BULLISH,1.34,0.02
Vanguard FTSE Dev.,VEA,International,70.12,1.99,BULLISH,1.06,0.03
SPDR Gold,GLD,Commodity,430.31,-6.98,BULLISH,1.05,0.07
iShares Silver,SLV,Commodity,78.64,12.8,BULLISH,2.51,0.14
US Oil Fund,USO,Commodity,143.75,88.6,BULLISH,3.44,0.04
ARK Innovation,ARKK,Thematic,77.79,10.73,BULLISH,1.75,0.02
