name,symbol,category,price,change_pct,trend,volatility_20d,vol_ratio
SPDR S&P 500,SPY,US Equity,737.09,8.12,BULLISH,0.53,0.1
Invesco QQQ,QQQ,US Equity,708.3,17.67,BULLISH,0.88,0.19
iShares Russell 2000,IWM,US Equity,280.68,6.74,BULLISH,0.9,0.17
SPDR Dow Jones,DIA,US Equity,495.22,-0.01,BULLISH,0.55,0.2
Vanguard Total Market,VTI,US Equity,362.07,7.55,BULLISH,0.55,0.16
Vanguard S&P 500,VOO,US Equity,677.58,8.09,BULLISH,0.53,0.16
Financial Select,XLF,Sector,51.08,-1.11,BEARISH,0.49,0.18
Technology Select,XLK,Sector,175.42,25.7,BULLISH,1.27,0.16
Energy Select,XLE,Sector,57.15,5.15,BEARISH,1.3,0.08
Health Care Select,XLV,Sector,146.18,-7.29,NEUTRAL,0.74,0.14
Industrial Select,XLI,Sector,173.05,-0.64,BULLISH,1.05,0.1
Consumer Disc.,XLY,Sector,117.73,1.33,NEUTRAL,0.69,0.06
iShares Core US Agg,AGG,Bonds,98.63,-2.33,NEUTRAL,0.21,0.05
Vanguard Total Bond,BND,Bonds,73.16,-2.3,NEUTRAL,0.22,0.08
iShares 20+ Year Tr.,TLT,Bonds,84.91,-5.37,BEARISH,0.43,0.1
iShares High Yield,HYG,Bonds,79.83,-1.26,NEUTRAL,0.22,0.04
iShares Inv. Grade,LQD,Bonds,108.53,-2.74,NEUTRAL,0.29,0.07
iShares MSCI EAFE,EFA,International,103.22,-0.98,BULLISH,0.96,0.07
iShares MSCI EM,EEM,International,66.79,9.28,BULLISH,1.37,0.2
Vanguard FTSE Dev.,VEA,International,70.22,2.13,BULLISH,1.06,0.09
SPDR Gold,GLD,Commodity,429.81,-7.09,BULLISH,1.05,0.13
iShares Silver,SLV,Commodity,78.88,13.14,BULLISH,2.52,0.29
US Oil Fund,USO,Commodity,143.74,88.59,BULLISH,3.44,0.07
ARK Innovation,ARKK,Thematic,77.25,9.97,BULLISH,1.79,0.11
