name,symbol,region,price,change_pct,trend,volatility_20d
S&P 500,^GSPC,US,7389.44,8.09,BULLISH,0.55
Nasdaq,^IXIC,US,26118.73,15.84,BULLISH,0.79
Dow Jones,^DJI,US,49480.24,-0.04,BULLISH,0.56
Russell 2000,^RUT,US,2826.6,6.8,BULLISH,0.9
FTSE 100,^FTSE,UK,10290.29,-1.49,BEARISH,0.7
DAX,^GDAXI,Germany,24067.17,-3.4,NEUTRAL,0.84
CAC 40,^FCHI,France,7967.17,-4.15,BEARISH,0.95
Euro Stoxx 50,^STOXX50E,EU,5823.65,-2.7,NEUTRAL,0.93
Nikkei 225,^N225,Japan,63272.11,11.12,BULLISH,1.23
Hang Seng,^HSI,HK,26388.44,-0.67,BULLISH,0.84
Shanghai Comp,000001.SS,China,4242.57,3.93,BULLISH,0.43
BSE Sensex,^BSESN,India,74608.98,-9.7,BEARISH,0.81
Nifty 50,^NSEI,India,23412.6,-8.08,BEARISH,0.75
KOSPI,^KS11,Korea,7844.01,42.44,BULLISH,1.96
ASX 200,^AXJO,Australia,8630.4,-3.22,BEARISH,0.5
Bovespa,^BVSP,Brazil,178761.02,-4.13,BEARISH,0.86
