name,symbol,category,price,change_pct,trend,volatility_20d,vol_ratio
SPDR S&P 500,SPY,US Equity,739.68,-1.13,BULLISH,0.58,0.18
Invesco QQQ,QQQ,US Equity,707.65,-1.69,BULLISH,0.95,0.27
iShares Russell 2000,IWM,US Equity,278.4,-2.13,BULLISH,0.89,0.32
SPDR Dow Jones,DIA,US Equity,496.44,-0.87,BULLISH,0.52,0.32
Vanguard Total Market,VTI,US Equity,363.09,-1.17,BULLISH,0.58,0.18
Vanguard S&P 500,VOO,US Equity,679.89,-1.14,BULLISH,0.57,0.36
Financial Select,XLF,Sector,51.46,0.33,BEARISH,0.49,0.16
Technology Select,XLK,Sector,175.22,-2.38,BULLISH,1.37,0.26
Energy Select,XLE,Sector,59.1,1.77,BULLISH,1.18,0.24
Health Care Select,XLV,Sector,146.55,-0.05,NEUTRAL,0.65,0.15
Industrial Select,XLI,Sector,171.86,-1.52,NEUTRAL,1.02,0.16
Consumer Disc.,XLY,Sector,116.86,-1.53,NEUTRAL,0.63,0.22
iShares Core US Agg,AGG,Bonds,98.08,-0.56,NEUTRAL,0.22,0.1
Vanguard Total Bond,BND,Bonds,72.75,-0.56,NEUTRAL,0.22,0.16
iShares 20+ Year Tr.,TLT,Bonds,83.75,-1.37,BEARISH,0.44,0.39
iShares High Yield,HYG,Bonds,79.58,-0.34,NEUTRAL,0.22,0.2
iShares Inv. Grade,LQD,Bonds,107.71,-0.77,NEUTRAL,0.28,0.21
iShares MSCI EAFE,EFA,International,101.67,-1.73,BULLISH,1.02,0.11
iShares MSCI EM,EEM,International,64.89,-3.7,BULLISH,1.48,0.26
Vanguard FTSE Dev.,VEA,International,68.98,-2.23,BULLISH,1.13,0.07
SPDR Gold,GLD,Commodity,415.75,-2.68,NEUTRAL,1.15,0.41
iShares Silver,SLV,Commodity,68.9,-8.75,BULLISH,3.02,0.62
US Oil Fund,USO,Commodity,146.24,2.27,BULLISH,3.12,0.11
ARK Innovation,ARKK,Thematic,75.21,-3.58,BULLISH,1.79,0.22
