pair,name,group,price,change_pct,trend,volatility_20d
EURUSD,EURUSD,Major,1.1631,-0.27,NEUTRAL,0.24
GBPUSD,GBPUSD,Major,1.3326,-0.49,NEUTRAL,0.31
USDJPY,USDJPY,Major,158.731,0.22,NEUTRAL,0.31
USDCHF,USDCHF,Major,0.786,0.23,NEUTRAL,0.31
AUDUSD,AUDUSD,Major,0.7153,-0.85,NEUTRAL,0.41
USDCAD,USDCAD,Major,1.3749,0.18,NEUTRAL,0.21
NZDUSD,NZDUSD,Major,0.584,-1.07,NEUTRAL,0.5
EURGBP,EURGBP,Minor,0.8725,0.19,NEUTRAL,0.14
EURJPY,EURJPY,Minor,184.56,-0.08,NEUTRAL,0.23
GBPJPY,GBPJPY,Minor,211.529,-0.26,BEARISH,0.27
EURCHF,EURCHF,Minor,0.9142,-0.04,NEUTRAL,0.14
AUDJPY,AUDJPY,Minor,113.509,-0.62,NEUTRAL,0.34
GBPCHF,GBPCHF,Minor,1.0478,-0.21,NEUTRAL,0.2
CADJPY,CADJPY,Minor,115.433,0.03,BEARISH,0.27
NZDJPY,NZDJPY,Minor,92.681,-0.83,NEUTRAL,0.37
USDMXN,USDMXN,Exotic,17.328,0.57,BEARISH,0.33
USDZAR,USDZAR,Exotic,16.6836,1.21,NEUTRAL,0.64
USDTRY,USDTRY,Exotic,45.4901,-0.11,BULLISH,0.09
USDBRL,USDBRL,Exotic,5.0693,1.3,NEUTRAL,0.7
