pair,name,group,price,change_pct,trend,volatility_20d
EURUSD,EURUSD,Major,1.1632,-0.72,NEUTRAL,0.26
GBPUSD,GBPUSD,Major,1.3353,-1.28,NEUTRAL,0.32
USDJPY,USDJPY,Major,158.531,0.43,NEUTRAL,0.31
USDCHF,USDCHF,Major,0.7865,0.64,NEUTRAL,0.32
AUDUSD,AUDUSD,Major,0.7154,-1.39,BULLISH,0.43
USDCAD,USDCAD,Major,1.3758,0.39,NEUTRAL,0.21
NZDUSD,NZDUSD,Major,0.5844,-1.48,NEUTRAL,0.51
EURGBP,EURGBP,Minor,0.8709,0.55,NEUTRAL,0.13
EURJPY,EURJPY,Minor,184.351,-0.31,NEUTRAL,0.26
GBPJPY,GBPJPY,Minor,211.678,-0.86,NEUTRAL,0.29
EURCHF,EURCHF,Minor,0.9146,-0.13,NEUTRAL,0.16
AUDJPY,AUDJPY,Minor,113.344,-1.0,NEUTRAL,0.36
GBPCHF,GBPCHF,Minor,1.0501,-0.68,NEUTRAL,0.2
CADJPY,CADJPY,Minor,115.222,0.06,BEARISH,0.27
NZDJPY,NZDJPY,Minor,92.597,-1.08,NEUTRAL,0.39
USDMXN,USDMXN,Exotic,17.3556,1.1,BEARISH,0.37
USDZAR,USDZAR,Exotic,16.6631,1.68,NEUTRAL,0.64
USDTRY,USDTRY,Exotic,45.5432,0.25,BULLISH,0.08
USDBRL,USDBRL,Exotic,5.0436,0.37,NEUTRAL,0.65
