pair,name,group,price,change_pct,trend,volatility_20d
EURUSD,EURUSD,Major,1.1625,-0.78,NEUTRAL,0.26
GBPUSD,GBPUSD,Major,1.3323,-1.5,NEUTRAL,0.33
USDJPY,USDJPY,Major,158.727,0.55,NEUTRAL,0.32
USDCHF,USDCHF,Major,0.787,0.71,NEUTRAL,0.32
AUDUSD,AUDUSD,Major,0.7156,-1.36,BULLISH,0.43
USDCAD,USDCAD,Major,1.3752,0.35,NEUTRAL,0.21
NZDUSD,NZDUSD,Major,0.5844,-1.48,NEUTRAL,0.51
EURGBP,EURGBP,Minor,0.8722,0.7,NEUTRAL,0.14
EURJPY,EURJPY,Minor,184.454,-0.26,NEUTRAL,0.26
GBPJPY,GBPJPY,Minor,211.461,-0.96,NEUTRAL,0.29
EURCHF,EURCHF,Minor,0.9146,-0.13,NEUTRAL,0.16
AUDJPY,AUDJPY,Minor,113.539,-0.83,NEUTRAL,0.36
GBPCHF,GBPCHF,Minor,1.0484,-0.84,NEUTRAL,0.21
CADJPY,CADJPY,Minor,115.412,0.23,BEARISH,0.28
NZDJPY,NZDJPY,Minor,92.714,-0.96,NEUTRAL,0.39
USDMXN,USDMXN,Exotic,17.3469,1.05,BEARISH,0.37
USDZAR,USDZAR,Exotic,16.6798,1.79,NEUTRAL,0.64
USDTRY,USDTRY,Exotic,45.5434,0.25,BULLISH,0.08
USDBRL,USDBRL,Exotic,5.0678,0.85,NEUTRAL,0.68
