name,symbol,category,price,change_pct,spread,spread_pct,spread_label,trend,volatility_20d,vol_ratio
Gold,GC=F,Precious Metals,4560.0,-2.52,0.1,0.0022,0.1 (0.002%),NEUTRAL,1.08,18.91
Silver,SI=F,Precious Metals,77.08,-9.22,0.005,0.0065,0.005 (0.006%),BULLISH,3.19,12.96
Platinum,PL=F,Precious Metals,1992.6,-4.36,0.1,0.005,0.1 (0.005%),BULLISH,2.32,18.58
Palladium,PA=F,Precious Metals,1430.0,-1.83,0.5,0.035,0.5 (0.035%),BEARISH,2.24,19.86
Crude Oil WTI,CL=F,Energy,100.43,-0.73,0.01,0.01,0.01 (0.010%),BULLISH,2.89,0.51
Brent Crude,BZ=F,Energy,108.94,3.05,0.01,0.0092,0.01 (0.009%),NEUTRAL,3.36,0.48
Natural Gas,NG=F,Energy,2.963,2.38,0.001,0.0337,0.001 (0.034%),BULLISH,2.05,0.9
Copper,HG=F,Industrial Metals,6.2965,-4.13,0.0005,0.0079,0.0005 (0.008%),BULLISH,1.5,11.86
Corn,ZC=F,Agriculture,456.25,1.05,0.25,0.0548,0.25 (0.055%),NEUTRAL,0.92,3.09
Wheat,ZW=F,Agriculture,635.25,-1.82,0.25,0.0394,0.25 (0.039%),BULLISH,1.81,5.22
Soybeans,ZS=F,Agriculture,1176.0,0.13,0.25,0.0213,0.25 (0.021%),BULLISH,0.81,3.44
Coffee,KC=F,Softs,266.2,-9.59,0.05,0.0188,0.05 (0.019%),BEARISH,1.99,13.17
Sugar,SB=F,Softs,14.78,-1.4,0.01,0.0677,0.01 (0.068%),BULLISH,1.65,0.73
Cotton,CT=F,Softs,80.01,-4.68,0.01,0.0125,0.01 (0.012%),BULLISH,1.71,2.86
Live Cattle,LE=F,Livestock,247.3,-1.89,0.025,0.0101,0.025 (0.010%),NEUTRAL,0.81,0.7
