name,symbol,region,price,change_pct,trend,volatility_20d
S&P 500,^GSPC,US,7501.24,0.77,BULLISH,0.6
Nasdaq,^IXIC,US,26635.22,0.88,BULLISH,0.87
Dow Jones,^DJI,US,50063.46,0.75,BULLISH,0.56
Russell 2000,^RUT,US,2863.09,0.67,BULLISH,0.9
FTSE 100,^FTSE,UK,10372.93,0.59,BEARISH,0.72
DAX,^GDAXI,Germany,24456.26,0.76,NEUTRAL,0.85
CAC 40,^FCHI,France,8082.27,0.35,BEARISH,0.96
Euro Stoxx 50,^STOXX50E,EU,5934.96,1.26,NEUTRAL,0.99
Nikkei 225,^N225,Japan,62498.61,-1.22,BULLISH,1.2
Hang Seng,^HSI,HK,26389.04,0.15,BULLISH,0.84
Shanghai Comp,000001.SS,China,4177.92,0.67,BULLISH,0.43
BSE Sensex,^BSESN,India,75398.72,0.07,BEARISH,0.81
Nifty 50,^NSEI,India,23689.6,0.14,BEARISH,0.75
KOSPI,^KS11,Korea,7983.31,1.78,BULLISH,1.91
ASX 200,^AXJO,Australia,8688.0,0.67,BEARISH,0.52
Bovespa,^BVSP,Brazil,178365.86,0.72,BEARISH,0.92
