pair,name,group,price,change_pct,trend,volatility_20d
EURUSD,EURUSD,Major,1.1646,-0.6,NEUTRAL,0.26
GBPUSD,GBPUSD,Major,1.3371,-1.15,NEUTRAL,0.31
USDJPY,USDJPY,Major,158.373,0.33,NEUTRAL,0.3
USDCHF,USDCHF,Major,0.7848,0.42,NEUTRAL,0.31
AUDUSD,AUDUSD,Major,0.7175,-1.1,BULLISH,0.42
USDCAD,USDCAD,Major,1.3741,0.27,NEUTRAL,0.2
NZDUSD,NZDUSD,Major,0.5869,-1.06,NEUTRAL,0.49
EURGBP,EURGBP,Minor,0.8706,0.51,NEUTRAL,0.13
EURJPY,EURJPY,Minor,184.379,-0.3,NEUTRAL,0.26
GBPJPY,GBPJPY,Minor,211.783,-0.81,NEUTRAL,0.29
EURCHF,EURCHF,Minor,0.9137,-0.23,NEUTRAL,0.16
AUDJPY,AUDJPY,Minor,113.59,-0.79,NEUTRAL,0.35
GBPCHF,GBPCHF,Minor,1.0493,-0.75,NEUTRAL,0.2
CADJPY,CADJPY,Minor,115.245,0.08,BEARISH,0.27
NZDJPY,NZDJPY,Minor,92.907,-0.75,NEUTRAL,0.38
USDMXN,USDMXN,Exotic,17.317,0.87,BEARISH,0.36
USDZAR,USDZAR,Exotic,16.6057,1.33,NEUTRAL,0.62
USDTRY,USDTRY,Exotic,45.5381,0.24,BULLISH,0.08
USDBRL,USDBRL,Exotic,4.9848,-0.8,NEUTRAL,0.67
