pair,name,group,price,change_pct,trend,volatility_20d
EURUSD,EURUSD,Major,1.1624,-0.79,NEUTRAL,0.26
GBPUSD,GBPUSD,Major,1.3321,-1.52,NEUTRAL,0.33
USDJPY,USDJPY,Major,158.742,0.56,NEUTRAL,0.32
USDCHF,USDCHF,Major,0.787,0.7,NEUTRAL,0.32
AUDUSD,AUDUSD,Major,0.7153,-1.41,BULLISH,0.43
USDCAD,USDCAD,Major,1.3756,0.37,NEUTRAL,0.21
NZDUSD,NZDUSD,Major,0.5842,-1.52,NEUTRAL,0.52
EURGBP,EURGBP,Minor,0.8723,0.72,NEUTRAL,0.14
EURJPY,EURJPY,Minor,184.441,-0.26,NEUTRAL,0.26
GBPJPY,GBPJPY,Minor,211.43,-0.98,NEUTRAL,0.29
EURCHF,EURCHF,Minor,0.9144,-0.15,NEUTRAL,0.16
AUDJPY,AUDJPY,Minor,113.495,-0.87,NEUTRAL,0.36
GBPCHF,GBPCHF,Minor,1.0482,-0.86,NEUTRAL,0.21
CADJPY,CADJPY,Minor,115.396,0.21,BEARISH,0.28
NZDJPY,NZDJPY,Minor,92.696,-0.98,NEUTRAL,0.39
USDMXN,USDMXN,Exotic,17.3479,1.05,BEARISH,0.37
USDZAR,USDZAR,Exotic,16.687,1.83,NEUTRAL,0.64
USDTRY,USDTRY,Exotic,45.5435,0.25,BULLISH,0.08
USDBRL,USDBRL,Exotic,5.067,0.84,NEUTRAL,0.67
