name,symbol,category,price,change_pct,spread,spread_pct,spread_label,trend,volatility_20d,vol_ratio
Gold,GC=F,Precious Metals,4555.9,-2.61,0.1,0.0022,0.1 (0.002%),NEUTRAL,1.09,18.28
Silver,SI=F,Precious Metals,78.65,-7.37,0.005,0.0064,0.005 (0.006%),BULLISH,3.1,10.41
Platinum,PL=F,Precious Metals,2000.8,-3.97,0.1,0.005,0.1 (0.005%),BULLISH,2.3,17.61
Palladium,PA=F,Precious Metals,1436.5,-1.38,0.5,0.0348,0.5 (0.035%),BEARISH,2.21,19.77
Crude Oil WTI,CL=F,Energy,100.13,-1.03,0.01,0.01,0.01 (0.010%),BULLISH,2.91,0.23
Brent Crude,BZ=F,Energy,108.48,2.61,0.01,0.0092,0.01 (0.009%),NEUTRAL,3.34,0.27
Natural Gas,NG=F,Energy,2.942,1.66,0.001,0.034,0.001 (0.034%),BULLISH,2.01,0.27
Copper,HG=F,Industrial Metals,6.31,-3.92,0.0005,0.0079,0.0005 (0.008%),BULLISH,1.49,9.22
Corn,ZC=F,Agriculture,462.75,2.49,0.25,0.054,0.25 (0.054%),NEUTRAL,1.0,1.08
Wheat,ZW=F,Agriculture,649.75,0.43,0.25,0.0385,0.25 (0.038%),BULLISH,1.74,1.97
Soybeans,ZS=F,Agriculture,1183.75,0.79,0.25,0.0211,0.25 (0.021%),BULLISH,0.84,1.06
Coffee,KC=F,Softs,273.65,-7.06,0.05,0.0183,0.05 (0.018%),BEARISH,1.87,4.86
Sugar,SB=F,Softs,14.92,-0.47,0.01,0.067,0.01 (0.067%),BULLISH,1.61,0.2
Cotton,CT=F,Softs,82.35,-1.89,0.01,0.0121,0.01 (0.012%),BULLISH,1.57,0.83
