name,symbol,region,price,change_pct,trend,volatility_20d
S&P 500,^GSPC,US,7432.95,-0.91,BULLISH,0.58
Nasdaq,^IXIC,US,26311.36,-1.22,BULLISH,0.86
Dow Jones,^DJI,US,49642.42,-0.84,BULLISH,0.51
Russell 2000,^RUT,US,2798.23,-2.27,BULLISH,0.9
FTSE 100,^FTSE,UK,10192.12,-1.74,BEARISH,0.79
DAX,^GDAXI,Germany,23994.36,-1.89,NEUTRAL,0.99
CAC 40,^FCHI,France,7962.92,-1.48,BEARISH,1.04
Euro Stoxx 50,^STOXX50E,EU,5829.74,-0.53,BEARISH,0.95
Nikkei 225,^N225,Japan,61409.29,-0.98,BULLISH,1.19
Hang Seng,^HSI,HK,25962.73,-1.62,BULLISH,0.82
Shanghai Comp,000001.SS,China,4135.39,-1.02,BULLISH,0.51
BSE Sensex,^BSESN,India,75237.99,-0.21,BEARISH,0.78
Nifty 50,^NSEI,India,23643.5,-0.19,BEARISH,0.73
KOSPI,^KS11,Korea,7493.18,1.75,BULLISH,1.91
ASX 200,^AXJO,Australia,8630.8,0.12,BEARISH,0.5
Bovespa,^BVSP,Brazil,176318.69,-1.15,BEARISH,0.96
