name,symbol,category,price,change_pct,spread,spread_pct,spread_label,trend,volatility_20d,vol_ratio
Gold,GC=F,Precious Metals,4553.1,-2.67,0.1,0.0022,0.1 (0.002%),NEUTRAL,1.09,18.36
Silver,SI=F,Precious Metals,78.34,-7.74,0.005,0.0064,0.005 (0.006%),BULLISH,3.11,10.61
Platinum,PL=F,Precious Metals,1989.7,-4.5,0.1,0.005,0.1 (0.005%),BULLISH,2.33,17.77
Palladium,PA=F,Precious Metals,1430.5,-1.79,0.5,0.035,0.5 (0.035%),BEARISH,2.23,19.78
Crude Oil WTI,CL=F,Energy,100.02,-1.14,0.01,0.01,0.01 (0.010%),BULLISH,2.91,0.25
Brent Crude,BZ=F,Energy,108.39,2.53,0.01,0.0092,0.01 (0.009%),NEUTRAL,3.34,0.29
Natural Gas,NG=F,Energy,2.948,1.87,0.001,0.0339,0.001 (0.034%),BULLISH,2.02,0.34
Copper,HG=F,Industrial Metals,6.292,-4.19,0.0005,0.0079,0.0005 (0.008%),BULLISH,1.51,9.54
Corn,ZC=F,Agriculture,462.25,2.38,0.25,0.0541,0.25 (0.054%),NEUTRAL,0.99,1.17
Wheat,ZW=F,Agriculture,648.25,0.19,0.25,0.0386,0.25 (0.039%),BULLISH,1.73,2.08
Soybeans,ZS=F,Agriculture,1181.0,0.55,0.25,0.0212,0.25 (0.021%),BULLISH,0.83,1.18
Coffee,KC=F,Softs,272.55,-7.44,0.05,0.0183,0.05 (0.018%),BEARISH,1.88,5.78
Sugar,SB=F,Softs,14.81,-1.2,0.01,0.0675,0.01 (0.068%),BULLISH,1.64,0.26
Cotton,CT=F,Softs,81.04,-3.45,0.01,0.0123,0.01 (0.012%),BULLISH,1.65,1.29
