pair,name,group,price,change_pct,trend,volatility_20d
EURUSD,EURUSD,Major,1.1681,-0.46,NEUTRAL,0.25
GBPUSD,GBPUSD,Major,1.3407,-0.96,NEUTRAL,0.31
USDJPY,USDJPY,Major,158.18,0.32,BEARISH,0.31
USDCHF,USDCHF,Major,0.7833,0.37,NEUTRAL,0.31
AUDUSD,AUDUSD,Major,0.7226,-0.16,BULLISH,0.37
USDCAD,USDCAD,Major,1.3723,0.19,NEUTRAL,0.21
NZDUSD,NZDUSD,Major,0.5919,-0.56,BULLISH,0.47
EURGBP,EURGBP,Minor,0.8711,0.5,NEUTRAL,0.13
EURJPY,EURJPY,Minor,184.731,-0.16,BEARISH,0.25
GBPJPY,GBPJPY,Minor,212.065,-0.63,BEARISH,0.28
EURCHF,EURCHF,Minor,0.9148,-0.13,NEUTRAL,0.16
AUDJPY,AUDJPY,Minor,114.297,0.17,NEUTRAL,0.31
GBPCHF,GBPCHF,Minor,1.05,-0.6,NEUTRAL,0.2
CADJPY,CADJPY,Minor,115.272,0.15,BEARISH,0.29
NZDJPY,NZDJPY,Minor,93.601,-0.24,NEUTRAL,0.35
USDMXN,USDMXN,Exotic,17.2141,-0.08,BEARISH,0.31
USDZAR,USDZAR,Exotic,16.4719,-0.24,NEUTRAL,0.54
USDTRY,USDTRY,Exotic,45.4171,0.04,BULLISH,0.08
USDBRL,USDBRL,Exotic,4.9858,1.55,BEARISH,0.6
