pair,name,group,price,change_pct,trend,volatility_20d
EURUSD,EURUSD,Major,1.168,-0.48,NEUTRAL,0.25
GBPUSD,GBPUSD,Major,1.3404,-0.98,NEUTRAL,0.32
USDJPY,USDJPY,Major,158.16,0.31,BEARISH,0.31
USDCHF,USDCHF,Major,0.7834,0.39,NEUTRAL,0.31
AUDUSD,AUDUSD,Major,0.7226,-0.16,BULLISH,0.37
USDCAD,USDCAD,Major,1.3725,0.2,NEUTRAL,0.21
NZDUSD,NZDUSD,Major,0.5919,-0.56,BULLISH,0.47
EURGBP,EURGBP,Minor,0.8713,0.52,NEUTRAL,0.13
EURJPY,EURJPY,Minor,184.696,-0.18,BEARISH,0.25
GBPJPY,GBPJPY,Minor,211.976,-0.67,BEARISH,0.28
EURCHF,EURCHF,Minor,0.9147,-0.14,NEUTRAL,0.16
AUDJPY,AUDJPY,Minor,114.251,0.13,NEUTRAL,0.3
GBPCHF,GBPCHF,Minor,1.0498,-0.62,NEUTRAL,0.2
CADJPY,CADJPY,Minor,115.258,0.14,BEARISH,0.29
NZDJPY,NZDJPY,Minor,93.591,-0.25,NEUTRAL,0.35
USDMXN,USDMXN,Exotic,17.22,-0.05,BEARISH,0.3
USDZAR,USDZAR,Exotic,16.4761,-0.22,NEUTRAL,0.54
USDTRY,USDTRY,Exotic,45.4268,0.06,BULLISH,0.08
USDBRL,USDBRL,Exotic,4.9839,1.51,BEARISH,0.6
