name,symbol,category,price,change_pct,spread,spread_pct,spread_label,trend,volatility_20d,vol_ratio
Gold,GC=F,Precious Metals,4579.1,-2.12,0.1,0.0022,0.1 (0.002%),NEUTRAL,1.06,17.02
Silver,SI=F,Precious Metals,78.955,-7.02,0.005,0.0063,0.005 (0.006%),BULLISH,3.08,7.76
Platinum,PL=F,Precious Metals,2010.5,-3.5,0.1,0.005,0.1 (0.005%),BULLISH,2.28,16.25
Palladium,PA=F,Precious Metals,1431.0,-1.76,0.5,0.0349,0.5 (0.035%),BEARISH,2.23,19.54
Crude Oil WTI,CL=F,Energy,103.15,1.96,0.01,0.0097,0.01 (0.010%),BULLISH,2.95,0.02
Brent Crude,BZ=F,Energy,107.3,1.49,0.01,0.0093,0.01 (0.009%),NEUTRAL,3.28,0.04
Natural Gas,NG=F,Energy,2.919,0.86,0.001,0.0343,0.001 (0.034%),BULLISH,1.97,0.05
Copper,HG=F,Industrial Metals,6.3725,-2.97,0.0005,0.0078,0.0005 (0.008%),BULLISH,1.44,6.76
Corn,ZC=F,Agriculture,468.75,3.82,0.25,0.0533,0.25 (0.053%),BULLISH,1.06,0.52
Wheat,ZW=F,Agriculture,653.5,1.0,0.25,0.0383,0.25 (0.038%),BULLISH,1.77,0.79
Soybeans,ZS=F,Agriculture,1192.0,1.49,0.25,0.021,0.25 (0.021%),BULLISH,0.88,0.57
