name,symbol,sector,country,currency,price,change_pct,trend,volatility_20d,vol_ratio
Apple,AAPL,Technology,US,USD,298.87,1.38,BULLISH,1.33,1.07
Microsoft,MSFT,Technology,US,USD,405.21,-0.63,BEARISH,1.4,0.84
Alphabet,GOOGL,Technology,US,USD,402.62,3.94,BULLISH,1.66,1.0
Amazon,AMZN,Technology,US,USD,270.13,1.62,BULLISH,1.08,0.85
Meta,META,Technology,US,USD,616.63,2.26,BEARISH,1.55,0.92
NVIDIA,NVDA,Technology,US,USD,225.83,2.29,BULLISH,1.9,0.99
Tesla,TSLA,Technology,US,USD,445.27,2.73,BULLISH,1.95,1.08
ASML,ASML,Technology,NL,EUR,1581.58,3.99,BULLISH,2.77,0.96
Broadcom,AVGO,Technology,US,USD,416.79,-0.6,BULLISH,1.83,0.88
JPMorgan Chase,JPM,Finance,US,USD,300.25,-1.52,BEARISH,1.08,0.96
Bank of America,BAC,Finance,US,USD,49.84,-1.85,BEARISH,1.09,0.95
Goldman Sachs,GS,Finance,US,USD,955.42,1.01,BULLISH,1.25,1.29
Visa,V,Finance,US,USD,320.31,-1.87,BULLISH,1.18,1.05
Mastercard,MA,Finance,US,USD,490.64,-1.83,BEARISH,1.24,0.88
Johnson & Johnson,JNJ,Healthcare,US,USD,230.42,2.75,BEARISH,1.06,0.97
UnitedHealth,UNH,Healthcare,US,USD,401.16,1.2,BULLISH,1.53,0.99
Eli Lilly,LLY,Healthcare,US,USD,1015.75,2.61,BULLISH,2.15,0.98
Novo Nordisk,NVO,Healthcare,DK,DKK,47.08,0.17,BULLISH,1.56,0.55
Walmart,WMT,Consumer,US,USD,131.47,0.86,NEUTRAL,1.0,0.84
Coca-Cola,KO,Consumer,US,USD,80.26,0.29,BULLISH,0.83,0.87
Procter & Gamble,PG,Consumer,US,USD,142.24,-1.16,BEARISH,1.2,0.75
McDonald's,MCD,Consumer,US,USD,275.7,0.31,BEARISH,1.04,0.86
Nike,NKE,Consumer,US,USD,42.34,-0.02,BEARISH,0.99,1.08
Caterpillar,CAT,Industrial,US,USD,902.3,-1.08,BULLISH,1.91,0.79
Boeing,BA,Industrial,US,USD,240.6,1.57,BULLISH,1.7,1.1
GE Aerospace,GE,Industrial,US,USD,294.71,-0.92,BULLISH,2.17,0.59
Exxon Mobil,XOM,Energy,US,USD,151.57,0.62,BEARISH,1.43,0.94
Shell,SHEL,Energy,UK,GBP,84.93,-0.49,BEARISH,1.32,0.76
LVMH,MC.PA,Luxury,FR,EUR,456.35,0.9,BEARISH,1.55,0.11
Hermès,RMS.PA,Luxury,FR,EUR,1593.0,0.66,BEARISH,1.87,0.1
