name,symbol,category,price,change_pct,trend,volatility_20d,vol_ratio
SPDR S&P 500,SPY,US Equity,743.21,-0.66,BULLISH,0.55,0.67
Invesco QQQ,QQQ,US Equity,714.55,-0.73,BULLISH,0.9,0.86
iShares Russell 2000,IWM,US Equity,278.88,-1.96,BULLISH,0.88,0.85
SPDR Dow Jones,DIA,US Equity,496.68,-0.82,BULLISH,0.51,0.93
Vanguard Total Market,VTI,US Equity,364.75,-0.72,BULLISH,0.56,0.72
Vanguard S&P 500,VOO,US Equity,683.24,-0.65,BULLISH,0.55,0.77
Financial Select,XLF,Sector,51.23,-0.13,BEARISH,0.48,0.49
Technology Select,XLK,Sector,178.47,-0.57,BULLISH,1.28,0.91
Energy Select,XLE,Sector,59.02,1.64,BULLISH,1.17,0.61
Health Care Select,XLV,Sector,145.22,-0.97,NEUTRAL,0.7,0.61
Industrial Select,XLI,Sector,171.38,-1.79,NEUTRAL,1.03,0.58
Consumer Disc.,XLY,Sector,116.87,-1.52,NEUTRAL,0.63,0.77
iShares Core US Agg,AGG,Bonds,98.03,-0.62,NEUTRAL,0.22,0.46
Vanguard Total Bond,BND,Bonds,72.71,-0.62,NEUTRAL,0.23,0.77
iShares 20+ Year Tr.,TLT,Bonds,83.62,-1.53,BEARISH,0.44,1.37
iShares High Yield,HYG,Bonds,79.62,-0.29,NEUTRAL,0.21,0.87
iShares Inv. Grade,LQD,Bonds,107.78,-0.7,NEUTRAL,0.28,1.27
iShares MSCI EAFE,EFA,International,101.98,-1.43,BULLISH,1.01,0.61
iShares MSCI EM,EEM,International,65.39,-2.95,BULLISH,1.44,0.78
Vanguard FTSE Dev.,VEA,International,69.28,-1.81,BULLISH,1.11,0.54
SPDR Gold,GLD,Commodity,418.59,-2.02,NEUTRAL,1.11,1.07
iShares Silver,SLV,Commodity,69.8,-7.57,BULLISH,2.96,1.55
US Oil Fund,USO,Commodity,147.4,3.08,BULLISH,3.16,0.31
ARK Innovation,ARKK,Thematic,75.78,-2.85,BULLISH,1.75,0.89
