name,symbol,category,price,change_pct,trend,volatility_20d,vol_ratio
SPDR S&P 500,SPY,US Equity,747.7,0.73,BULLISH,0.58,0.57
Invesco QQQ,QQQ,US Equity,719.28,0.64,BULLISH,0.93,0.66
iShares Russell 2000,IWM,US Equity,284.7,0.72,BULLISH,0.9,0.49
SPDR Dow Jones,DIA,US Equity,500.92,0.76,BULLISH,0.56,0.91
Vanguard Total Market,VTI,US Equity,367.32,0.72,BULLISH,0.59,0.65
Vanguard S&P 500,VOO,US Equity,687.4,0.73,BULLISH,0.58,0.59
Financial Select,XLF,Sector,51.36,0.73,BEARISH,0.52,0.67
Technology Select,XLK,Sector,179.37,1.42,BULLISH,1.32,0.75
Energy Select,XLE,Sector,58.16,0.93,NEUTRAL,1.24,0.38
Health Care Select,XLV,Sector,146.4,-0.21,NEUTRAL,0.73,0.67
Industrial Select,XLI,Sector,174.34,0.41,BULLISH,1.03,0.66
Consumer Disc.,XLY,Sector,118.83,0.09,NEUTRAL,0.67,0.6
iShares Core US Agg,AGG,Bonds,98.75,0.09,NEUTRAL,0.21,0.5
Vanguard Total Bond,BND,Bonds,73.24,0.09,NEUTRAL,0.22,0.64
iShares 20+ Year Tr.,TLT,Bonds,85.14,0.4,BEARISH,0.43,0.68
iShares High Yield,HYG,Bonds,79.94,0.04,NEUTRAL,0.22,0.52
iShares Inv. Grade,LQD,Bonds,108.78,0.15,NEUTRAL,0.28,0.51
iShares MSCI EAFE,EFA,International,103.53,-0.28,BULLISH,0.99,0.43
iShares MSCI EM,EEM,International,67.38,0.25,BULLISH,1.39,0.5
Vanguard FTSE Dev.,VEA,International,70.58,-0.06,BULLISH,1.09,0.72
SPDR Gold,GLD,Commodity,428.52,-0.46,BULLISH,1.07,0.44
iShares Silver,SLV,Commodity,76.2,-3.97,BULLISH,2.71,0.88
US Oil Fund,USO,Commodity,142.34,0.21,BULLISH,3.38,0.29
ARK Innovation,ARKK,Thematic,78.4,0.45,BULLISH,1.75,0.84
