name,symbol,category,price,change_pct,trend,volatility_20d,vol_ratio
SPDR S&P 500,SPY,US Equity,741.44,-0.9,BULLISH,0.56,0.76
Invesco QQQ,QQQ,US Equity,712.52,-1.01,BULLISH,0.92,0.98
iShares Russell 2000,IWM,US Equity,278.49,-2.1,BULLISH,0.89,1.0
SPDR Dow Jones,DIA,US Equity,496.02,-0.95,BULLISH,0.52,1.0
Vanguard Total Market,VTI,US Equity,363.91,-0.95,BULLISH,0.57,0.81
Vanguard S&P 500,VOO,US Equity,681.64,-0.89,BULLISH,0.56,0.86
Financial Select,XLF,Sector,51.09,-0.38,BEARISH,0.49,0.54
Technology Select,XLK,Sector,177.81,-0.94,BULLISH,1.3,1.02
Energy Select,XLE,Sector,59.28,2.08,BULLISH,1.2,0.68
Health Care Select,XLV,Sector,145.07,-1.06,NEUTRAL,0.7,0.68
Industrial Select,XLI,Sector,171.28,-1.85,NEUTRAL,1.03,0.67
Consumer Disc.,XLY,Sector,116.62,-1.73,NEUTRAL,0.64,0.98
iShares Core US Agg,AGG,Bonds,98.04,-0.61,NEUTRAL,0.22,0.6
Vanguard Total Bond,BND,Bonds,72.72,-0.61,NEUTRAL,0.22,0.87
iShares 20+ Year Tr.,TLT,Bonds,83.62,-1.54,BEARISH,0.45,1.5
iShares High Yield,HYG,Bonds,79.56,-0.37,NEUTRAL,0.22,1.03
iShares Inv. Grade,LQD,Bonds,107.77,-0.72,NEUTRAL,0.28,1.49
iShares MSCI EAFE,EFA,International,101.81,-1.59,BULLISH,1.01,0.68
iShares MSCI EM,EEM,International,65.25,-3.15,BULLISH,1.45,0.87
Vanguard FTSE Dev.,VEA,International,69.17,-1.97,BULLISH,1.12,0.64
SPDR Gold,GLD,Commodity,418.55,-2.03,NEUTRAL,1.12,1.18
iShares Silver,SLV,Commodity,69.55,-7.89,BULLISH,2.98,1.64
US Oil Fund,USO,Commodity,147.92,3.44,BULLISH,3.18,0.37
ARK Innovation,ARKK,Thematic,75.44,-3.28,BULLISH,1.77,1.03
