pair,name,group,price,change_pct,trend,volatility_20d
EURUSD,EURUSD,Major,1.1721,-1.24,NEUTRAL,0.23
GBPUSD,GBPUSD,Major,1.353,-0.66,NEUTRAL,0.27
USDJPY,USDJPY,Major,157.826,3.28,BEARISH,0.3
USDCHF,USDCHF,Major,0.7815,1.55,NEUTRAL,0.3
AUDUSD,AUDUSD,Major,0.7255,2.37,BULLISH,0.37
USDCAD,USDCAD,Major,1.3706,0.7,NEUTRAL,0.2
NZDUSD,NZDUSD,Major,0.5933,-1.66,BULLISH,0.46
EURGBP,EURGBP,Minor,0.866,-0.62,NEUTRAL,0.11
EURJPY,EURJPY,Minor,184.918,1.96,BEARISH,0.24
GBPJPY,GBPJPY,Minor,213.524,2.6,NEUTRAL,0.25
EURCHF,EURCHF,Minor,0.9157,0.26,NEUTRAL,0.15
AUDJPY,AUDJPY,Minor,114.452,5.68,NEUTRAL,0.31
GBPCHF,GBPCHF,Minor,1.0572,0.92,NEUTRAL,0.17
CADJPY,CADJPY,Minor,115.152,2.57,BEARISH,0.29
NZDJPY,NZDJPY,Minor,93.604,1.55,NEUTRAL,0.35
USDMXN,USDMXN,Exotic,17.159,-0.28,BEARISH,0.32
USDZAR,USDZAR,Exotic,16.3957,2.81,NEUTRAL,0.56
USDTRY,USDTRY,Exotic,45.4132,3.85,BULLISH,0.08
USDBRL,USDBRL,Exotic,5.0111,-3.89,BEARISH,0.53
