pair,name,group,price,change_pct,trend,volatility_20d
EURUSD,EURUSD,Major,1.1635,-0.69,NEUTRAL,0.26
GBPUSD,GBPUSD,Major,1.3335,-1.41,NEUTRAL,0.32
USDJPY,USDJPY,Major,158.701,0.54,NEUTRAL,0.32
USDCHF,USDCHF,Major,0.7865,0.64,NEUTRAL,0.32
AUDUSD,AUDUSD,Major,0.7161,-1.3,BULLISH,0.43
USDCAD,USDCAD,Major,1.3735,0.22,NEUTRAL,0.2
NZDUSD,NZDUSD,Major,0.5847,-1.42,NEUTRAL,0.51
EURGBP,EURGBP,Minor,0.8722,0.7,NEUTRAL,0.14
EURJPY,EURJPY,Minor,184.568,-0.2,NEUTRAL,0.25
GBPJPY,GBPJPY,Minor,211.59,-0.9,NEUTRAL,0.29
EURCHF,EURCHF,Minor,0.9147,-0.12,NEUTRAL,0.16
AUDJPY,AUDJPY,Minor,113.585,-0.79,NEUTRAL,0.35
GBPCHF,GBPCHF,Minor,1.0486,-0.82,NEUTRAL,0.21
CADJPY,CADJPY,Minor,115.535,0.33,BEARISH,0.28
NZDJPY,NZDJPY,Minor,92.751,-0.92,NEUTRAL,0.39
USDMXN,USDMXN,Exotic,17.3444,1.03,BEARISH,0.37
USDZAR,USDZAR,Exotic,16.6707,1.73,NEUTRAL,0.64
USDTRY,USDTRY,Exotic,45.5424,0.25,BULLISH,0.08
USDBRL,USDBRL,Exotic,5.068,0.86,NEUTRAL,0.68
