pair,name,group,price,change_pct,trend,volatility_20d
EURUSD,EURUSD,Major,1.1654,-0.53,NEUTRAL,0.25
GBPUSD,GBPUSD,Major,1.3369,-1.16,NEUTRAL,0.31
USDJPY,USDJPY,Major,158.515,0.42,NEUTRAL,0.31
USDCHF,USDCHF,Major,0.7851,0.46,NEUTRAL,0.31
AUDUSD,AUDUSD,Major,0.7192,-0.87,BULLISH,0.4
USDCAD,USDCAD,Major,1.3739,0.25,NEUTRAL,0.2
NZDUSD,NZDUSD,Major,0.5884,-0.8,BULLISH,0.48
EURGBP,EURGBP,Minor,0.8714,0.61,NEUTRAL,0.13
EURJPY,EURJPY,Minor,184.677,-0.14,NEUTRAL,0.25
GBPJPY,GBPJPY,Minor,211.914,-0.75,NEUTRAL,0.28
EURCHF,EURCHF,Minor,0.9147,-0.12,NEUTRAL,0.16
AUDJPY,AUDJPY,Minor,113.962,-0.46,NEUTRAL,0.34
GBPCHF,GBPCHF,Minor,1.0496,-0.73,NEUTRAL,0.2
CADJPY,CADJPY,Minor,115.362,0.18,BEARISH,0.27
NZDJPY,NZDJPY,Minor,93.248,-0.39,NEUTRAL,0.36
USDMXN,USDMXN,Exotic,17.2665,0.58,BEARISH,0.35
USDZAR,USDZAR,Exotic,16.5379,0.92,NEUTRAL,0.6
USDTRY,USDTRY,Exotic,45.5358,0.23,BULLISH,0.08
USDBRL,USDBRL,Exotic,4.9837,-0.82,NEUTRAL,0.67
