name,symbol,region,price,change_pct,trend,volatility_20d
S&P 500,^GSPC,US,7501.24,0.77,BULLISH,0.6
Nasdaq,^IXIC,US,26635.22,0.88,BULLISH,0.87
Dow Jones,^DJI,US,50063.46,0.75,BULLISH,0.56
Russell 2000,^RUT,US,2863.09,0.67,BULLISH,0.9
FTSE 100,^FTSE,UK,10294.61,-0.75,BEARISH,0.74
DAX,^GDAXI,Germany,24195.2,-1.07,NEUTRAL,0.95
CAC 40,^FCHI,France,8008.22,-0.92,BEARISH,1.02
Euro Stoxx 50,^STOXX50E,EU,5858.7,-0.04,BEARISH,0.93
Nikkei 225,^N225,Japan,61409.29,-1.99,BULLISH,1.25
Hang Seng,^HSI,HK,25968.37,-1.59,BULLISH,0.82
Shanghai Comp,000001.SS,China,4135.39,-1.02,BULLISH,0.51
BSE Sensex,^BSESN,India,75685.99,0.38,BEARISH,0.79
Nifty 50,^NSEI,India,23742.3,0.22,BEARISH,0.73
KOSPI,^KS11,Korea,7493.18,-6.12,BULLISH,2.11
ASX 200,^AXJO,Australia,8630.8,-0.11,BEARISH,0.5
Bovespa,^BVSP,Brazil,178365.86,0.72,BEARISH,0.92
