name,symbol,region,price,change_pct,trend,volatility_20d
S&P 500,^GSPC,US,7400.96,8.26,BULLISH,0.58
Nasdaq,^IXIC,US,26088.2,15.71,BULLISH,0.86
Dow Jones,^DJI,US,49610.61,0.22,BULLISH,0.54
Russell 2000,^RUT,US,2842.83,7.41,BULLISH,0.89
FTSE 100,^FTSE,UK,10268.68,-1.7,BEARISH,0.69
DAX,^GDAXI,Germany,24082.9,-3.34,NEUTRAL,0.84
CAC 40,^FCHI,France,7952.36,-4.32,BEARISH,0.96
Euro Stoxx 50,^STOXX50E,EU,5820.14,-2.76,NEUTRAL,0.93
Nikkei 225,^N225,Japan,63272.11,11.12,BULLISH,1.23
Hang Seng,^HSI,HK,26388.44,-0.67,BULLISH,0.84
Shanghai Comp,000001.SS,China,4242.57,3.93,BULLISH,0.43
BSE Sensex,^BSESN,India,74608.98,-9.7,BEARISH,0.81
Nifty 50,^NSEI,India,23412.6,-8.08,BEARISH,0.75
KOSPI,^KS11,Korea,7844.01,42.44,BULLISH,1.96
ASX 200,^AXJO,Australia,8630.4,-3.22,BEARISH,0.5
Bovespa,^BVSP,Brazil,180190.98,-3.36,BEARISH,0.82
