name,symbol,category,price,change_pct,spread,spread_pct,spread_label,trend,volatility_20d,vol_ratio
Gold,GC=F,Precious Metals,4577.6,-2.15,0.1,0.0022,0.1 (0.002%),NEUTRAL,1.07,17.1
Silver,SI=F,Precious Metals,79.06,-6.89,0.005,0.0063,0.005 (0.006%),BULLISH,3.07,7.87
Platinum,PL=F,Precious Metals,2015.6,-3.26,0.1,0.005,0.1 (0.005%),BULLISH,2.27,16.32
Palladium,PA=F,Precious Metals,1430.0,-1.83,0.5,0.035,0.5 (0.035%),BEARISH,2.24,19.55
Crude Oil WTI,CL=F,Energy,103.25,2.06,0.01,0.0097,0.01 (0.010%),BULLISH,2.96,0.02
Brent Crude,BZ=F,Energy,107.45,1.64,0.01,0.0093,0.01 (0.009%),NEUTRAL,3.29,0.04
Natural Gas,NG=F,Energy,2.922,0.97,0.001,0.0342,0.001 (0.034%),BULLISH,1.98,0.05
Copper,HG=F,Industrial Metals,6.3675,-3.05,0.0005,0.0079,0.0005 (0.008%),BULLISH,1.45,6.85
Corn,ZC=F,Agriculture,468.5,3.77,0.25,0.0534,0.25 (0.053%),BULLISH,1.06,0.54
Wheat,ZW=F,Agriculture,653.25,0.97,0.25,0.0383,0.25 (0.038%),BULLISH,1.77,0.83
Soybeans,ZS=F,Agriculture,1191.75,1.47,0.25,0.021,0.25 (0.021%),BULLISH,0.88,0.58
