name,symbol,category,price,change_pct,spread,spread_pct,spread_label,trend,volatility_20d,vol_ratio
Gold,GC=F,Precious Metals,4683.1,-6.75,0.1,0.0021,0.1 (0.002%),NEUTRAL,1.03,11.68
Silver,SI=F,Precious Metals,87.085,11.86,0.005,0.0057,0.005 (0.006%),BULLISH,2.8,4.37
Platinum,PL=F,Precious Metals,2150.5,3.83,0.1,0.0047,0.1 (0.005%),BULLISH,2.03,13.9
Palladium,PA=F,Precious Metals,1513.0,-10.87,0.5,0.033,0.5 (0.033%),BEARISH,1.99,0.0
Crude Oil WTI,CL=F,Energy,101.49,61.38,0.01,0.0099,0.01 (0.010%),BULLISH,3.44,0.03
Brent Crude,BZ=F,Energy,105.97,56.41,0.01,0.0094,0.01 (0.009%),NEUTRAL,3.67,0.01
Natural Gas,NG=F,Energy,2.866,-11.63,0.001,0.0349,0.001 (0.035%),BULLISH,1.93,0.02
Copper,HG=F,Industrial Metals,6.563,13.29,0.0005,0.0076,0.0005 (0.008%),BULLISH,1.33,2.97
Corn,ZC=F,Agriculture,481.75,11.58,0.25,0.0519,0.25 (0.052%),BULLISH,0.88,0.14
Wheat,ZW=F,Agriculture,684.25,24.69,0.25,0.0365,0.25 (0.037%),BULLISH,1.79,0.54
Soybeans,ZS=F,Agriculture,1224.0,8.03,0.25,0.0204,0.25 (0.020%),BULLISH,0.69,0.26
Coffee,KC=F,Softs,280.7,-6.45,0.05,0.0178,0.05 (0.018%),BEARISH,1.73,0.02
Sugar,SB=F,Softs,15.39,11.68,0.01,0.065,0.01 (0.065%),BULLISH,1.64,1.32
Cotton,CT=F,Softs,87.97,41.64,0.01,0.0114,0.01 (0.011%),BULLISH,1.46,3.62
Live Cattle,LE=F,Livestock,252.725,3.97,0.025,0.0099,0.025 (0.010%),NEUTRAL,0.75,2.8
