name,symbol,category,price,change_pct,spread,spread_pct,spread_label,trend,volatility_20d,vol_ratio
Gold,GC=F,Precious Metals,4689.8,-6.61,0.1,0.0021,0.1 (0.002%),BULLISH,1.02,10.6
Silver,SI=F,Precious Metals,87.245,12.07,0.005,0.0057,0.005 (0.006%),BULLISH,2.79,3.8
Platinum,PL=F,Precious Metals,2148.4,3.73,0.1,0.0047,0.1 (0.005%),BULLISH,2.03,13.54
Palladium,PA=F,Precious Metals,1512.5,-10.9,0.5,0.0331,0.5 (0.033%),NEUTRAL,2.03,18.02
Crude Oil WTI,CL=F,Energy,101.18,60.88,0.01,0.0099,0.01 (0.010%),BULLISH,3.43,0.02
Brent Crude,BZ=F,Energy,105.81,56.18,0.01,0.0095,0.01 (0.009%),NEUTRAL,3.67,0.01
Natural Gas,NG=F,Energy,2.858,-11.87,0.001,0.035,0.001 (0.035%),BULLISH,1.94,0.01
Copper,HG=F,Industrial Metals,6.562,13.27,0.0005,0.0076,0.0005 (0.008%),BULLISH,1.33,2.62
Corn,ZC=F,Agriculture,482.0,11.64,0.25,0.0519,0.25 (0.052%),BULLISH,0.88,0.13
Wheat,ZW=F,Agriculture,683.5,24.56,0.25,0.0366,0.25 (0.037%),BULLISH,1.79,0.34
Soybeans,ZS=F,Agriculture,1223.25,7.97,0.25,0.0204,0.25 (0.020%),BULLISH,0.68,0.24
Coffee,KC=F,Softs,280.7,-6.45,0.05,0.0178,0.05 (0.018%),BEARISH,1.95,0.0
Sugar,SB=F,Softs,15.39,11.68,0.01,0.065,0.01 (0.065%),BULLISH,1.64,0.0
Cotton,CT=F,Softs,87.97,41.64,0.01,0.0114,0.01 (0.011%),BULLISH,1.53,2.07
Live Cattle,LE=F,Livestock,252.725,3.97,0.025,0.0099,0.025 (0.010%),NEUTRAL,0.75,2.61
