name,symbol,category,price,change_pct,spread,spread_pct,spread_label,trend,volatility_20d,vol_ratio
Gold,GC=F,Precious Metals,4602.7,-1.61,0.1,0.0022,0.1 (0.002%),NEUTRAL,1.04,15.76
Silver,SI=F,Precious Metals,80.935,-4.68,0.005,0.0062,0.005 (0.006%),BULLISH,2.96,5.2
Platinum,PL=F,Precious Metals,2014.2,-3.33,0.1,0.005,0.1 (0.005%),BULLISH,2.27,14.74
Palladium,PA=F,Precious Metals,1427.0,-2.03,0.5,0.035,0.5 (0.035%),BEARISH,2.25,19.34
Crude Oil WTI,CL=F,Energy,102.54,1.35,0.01,0.0098,0.01 (0.010%),BULLISH,2.92,0.02
Brent Crude,BZ=F,Energy,106.98,1.19,0.01,0.0093,0.01 (0.009%),NEUTRAL,3.27,0.03
Natural Gas,NG=F,Energy,2.918,0.83,0.001,0.0343,0.001 (0.034%),BULLISH,1.97,0.04
Copper,HG=F,Industrial Metals,6.3965,-2.6,0.0005,0.0078,0.0005 (0.008%),BULLISH,1.43,5.29
Corn,ZC=F,Agriculture,471.0,4.32,0.25,0.0531,0.25 (0.053%),BULLISH,1.09,0.45
Wheat,ZW=F,Agriculture,656.0,1.39,0.25,0.0381,0.25 (0.038%),BULLISH,1.79,0.61
Soybeans,ZS=F,Agriculture,1195.5,1.79,0.25,0.0209,0.25 (0.021%),BULLISH,0.89,0.49
