pair,name,group,price,change_pct,trend,volatility_20d
EUR/USD,Euro / US Dollar,Major,1.1708,-1.35,NEUTRAL,0.24
GBP/USD,British Pound / US Dollar,Major,1.3525,-0.7,NEUTRAL,0.27
USD/JPY,US Dollar / Japanese Yen,Major,157.818,3.27,BEARISH,0.3
USD/CHF,US Dollar / Swiss Franc,Major,0.7823,1.65,NEUTRAL,0.3
AUD/USD,Australian Dollar / US Dollar,Major,0.7243,2.2,BULLISH,0.39
USD/CAD,US Dollar / Canadian Dollar,Major,1.3697,0.63,NEUTRAL,0.21
NZD/USD,New Zealand Dollar / US Dollar,Major,0.5932,-1.67,BULLISH,0.47
EUR/GBP,Euro / British Pound,Minor,0.8654,-0.69,NEUTRAL,0.1
EUR/JPY,Euro / Japanese Yen,Minor,184.698,1.83,BEARISH,0.25
GBP/JPY,British Pound / Japanese Yen,Minor,213.424,2.56,BEARISH,0.25
EUR/CHF,Euro / Swiss Franc,Minor,0.9157,0.26,NEUTRAL,0.16
AUD/JPY,Australian Dollar / Japanese Yen,Minor,114.255,5.5,NEUTRAL,0.34
GBP/CHF,British Pound / Swiss Franc,Minor,1.0579,0.98,NEUTRAL,0.16
CAD/JPY,Canadian Dollar / Japanese Yen,Minor,115.2,2.61,BEARISH,0.3
NZD/JPY,NZ Dollar / Japanese Yen,Minor,93.554,1.5,NEUTRAL,0.36
USD/MXN,US Dollar / Mexican Peso,Exotic,17.233,0.15,BEARISH,0.31
USD/ZAR,US Dollar / South African Rand,Exotic,16.466,3.25,NEUTRAL,0.52
USD/TRY,US Dollar / Turkish Lira,Exotic,45.4128,3.85,BULLISH,0.08
USD/BRL,US Dollar / Brazilian Real,Exotic,4.8911,-6.19,BEARISH,0.54
